INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2017,1,1.5,,,,,20,30,40,10,,,,,,,,,,,
2017,3,1.4,,,,,5,70,20,5,,,,,,,,,,,
2017,4,1.8,0,0,0,0,10,20,60,10,0,0,0,0,,,,,,,
2017,5,1.45,,,,5,15,30,30,15,5,,,,,,,,,,
2017,6,1.6,,,,,10,30,50,10,,,,,,,,,,,
2017,7,1.5,,,,,,,,,,,,,,,,,,,
2017,14,1.9,0,0,0,0,0,5,57,37,1,0,0,0,,,,,,,
2017,15,1.575,,,,5,10,20,40,20,5,,,,,,,,,,
2017,16,1.5,1,2,6,9,13,17,21,15,9,4,2,1,,,,,,,
2017,20,1.5,,,,,,40,60,,,,,,,,,,,,
2017,22,1.5,,,,5,15,30,40,10,,,,,,,,,,,
2017,23,1.4,,,,5,20,30,28,15,2,,,,,,,,,,
2017,24,1.4,,,,5,20,30,27.5,17.5,,,,,,,,,,,
2017,29,1.3,,,,,10,60,30,,,,,,,,,,,,
2017,31,1.6,,,,,15,20,40,20,5,,,,,,,,,,
2017,32,1.5,0,0,.0000021257,.0101241145,2.5601482271,40.275098308,51.534142545,5.5808339748,.0396356684,.0000150362,.0000000003,0,,,,,,,
2017,35,1.5,,,,,,20,65,15,,,,,,,,,,,
2017,37,1.7,,,,,,8,86,6,,,,,,,,,,,
2017,38,1.8,,,,,,20,60,20,,,,,,,,,,,
2017,39,1.4,,,,5,20,37,33,5,,,,,,,,,,,
2017,41,1.1,,,,,15,60,25,,,,,,,,,,,,
2017,42,1.1,,,,,25,50,20,5,,,,,,,,,,,
2017,47,1.7,,,,,5,25,45,20,5,,,,,,,,,,
2017,48,1.9,,,,,,,,,,,,,,,,,,,
2017,49,1.5,,,,,,,,,,,,,,,,,,,
2017,52,1.68,0,0,0,1,3,25,45,22,3,1,0,0,,,,,,,
2017,54,1.6,,,,,,40,60,,,,,,,,,,,,
2017,56,1.5,,,,,5,45,45,5,,,,,,,,,,,
2017,61,1.6,,,,2.5,7.5,35,45,10,,,,,,,,,,,
2017,67,,,,,,,,,,,,,,,,,,,,
2017,68,,,,,,,,,,,,,,,,,,,,
2017,70,1.6,,,,,,35,65,,,,,,,,,,,,
2017,80,1.4,0,0,0,.4662004662,10.4895104895,45.2214452215,38.2284382284,5.5944055944,0,0,0,0,,,,,,,
2017,82,1.7,,,,,,,,,,,,,,,,,,,
2017,84,1.7,0,0,0,0,5,20,35,24,12,3,1,0,,,,,,,
2017,85,1.822708683,.0000554665,.002641725,.0649480529,.8189216964,5.3177246503,17.8513304587,31.0693289312,28.076391091,13.169839107,3.2004088876,.4016162318,.0267937016,,,,,,,
