INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2016,4,.3,,5,20,40,25,10,,,,,,,,,,,,,
2016,5,.4,,5,15,30,30,15,5,,,,,,,,,,,,
2016,6,0,,5,35,50,10,,,,,,,,,,,,,,
2016,7,.5,,,,,,,,,,,,,,,,,,,
2016,8,.2,,5,20,50,20,5,,,,,,,,,,,,,
2016,15,.4,,,15,40,35,10,0,,,,,,,,,,,,
2016,16,.4,4,9,22,24,21,15,2,2,1,0,0,0,,,,,,,
2016,20,.1,,,25,45,25,5,,,,,,,,,,,,,
2016,23,.3,,4,20,30,20,15,10,1,,,,,,,,,,,
2016,24,.1,,16.5,25,30,20,8.5,,,,,,,,,,,,,
2016,26,0,,15,35,35,15,,,,,,,,,,,,,,
2016,29,.3,,,10,70,20,,,,,,,,,,,,,,
2016,31,.8,,,5,15,40,30,10,,,,,,,,,,,,
2016,32,.2,0,.3,9.5,45.9,38.6,5.6,.1,0,0,0,0,0,,,,,,,
2016,35,.5,,,,50,40,10,,,,,,,,,,,,,
2016,37,.1,,,12,76,12,,,,,,,,,,,,,,
2016,38,.1,,,20,60,20,,,,,,,,,,,,,,
2016,39,.2,,,,40,35,15,10,,,,,,,,,,,,
2016,41,.6,,,,20,70,10,,,,,,,,,,,,,
2016,47,.2,0,5,10,40,30,15,0,0,0,0,0,0,,,,,,,
2016,48,.1,,,30,70,,,,,,,,,,,,,,,
2016,49,-.2,,,,,,,,,,,,,,,,,,,
2016,52,-.1,1,13,38,33,10,3,1,1,0,0,0,0,,,,,,,
2016,54,.2,,,30,60,10,,,,,,,,,,,,,,
2016,57,.1,,,,,,,,,,,,,,,,,,,
2016,61,.1,,10,25,35,20,10,,,,,,,,,,,,,
2016,63,.4,,,15,40,35,10,,,,,,,,,,,,,
2016,67,,,,,,,,,,,,,,,,,,,,
2016,68,.3,,,,,,,,,,,,,,,,,,,
2016,70,.2,,,,70,30,,,,,,,,,,,,,,
2016,73,.5,2,8,20,20,30,10,10,0,0,0,0,0,,,,,,,
2016,80,.3,0,1,14.4,50.9,28.9,4.5,.3,0,0,0,0,0,,,,,,,
2016,82,.3,5,10,15,30,15,10,10,3,2,0,0,0,,,,,,,
2016,84,.4,1,5,19,40,34,1,0,0,0,0,0,0,,,,,,,
2016,85,.1675,1.7,8.3,22.7,32.4,23.8,9.1,1.8,.2,0,0,0,0,,,,,,,
2016,88,.18,5,11,21.5,25,21.5,11,5,,,,,,,,,,,,
2016,89,.556,2.5,2.5,12.5,30,30,10,5,5,2.5,0,,,,,,,,,
2016,92,.009696,.1,5.6,43.1,44.8,6.3,.1,0,0,0,0,0,0,,,,,,,
2016,93,.3,,,15,70,15,,,,,,,,,,,,,,
2016,94,.418,6,8,14,26,24,12,5,2,1.5,1,.5,,,,,,,,
2016,95,.293,0,4.8,22.7,40.5,17.3,10.5,4.2,0,0,0,0,0,,,,,,,
2016,96,.2,,3,25,45,20,5,2,,,,,,,,,,,,
2016,98,.2,,,,20,70,10,,,,,,,,,,,,,
2016,99,.2,0,0,20,80,0,0,0,0,0,0,0,0,,,,,,,
2016,101,.3,,,5,75,20,,,,,,,,,,,,,,
2016,102,.4,,,25,55,20,,,,,,,,,,,,,,
2016,103,.2,,2.5,20,40,30,7.5,,,,,,,,,,,,,
2016,105,.1,,,20,80,,,,,,,,,,,,,,,
2016,107,.0097,.1,5.6,43.1,44.8,6.3,.1,0,0,0,0,0,0,,,,,,,
2016,110,.3,0,0,3.9,63.1,32.6,.4,0,0,0,0,0,0,,,,,,,
2016,112,.5,,,10,20,40,15,10,5,,,,,,,,,,,
2016,114,,,,3,25,45,10,10,6,1,,,,,,,,,,
2016,115,.3,8.8,8.6,16.4,20.3,19.3,14,7.8,3.3,1.1,.3,.1,0,,,,,,,
2017,4,1.4,,,5,10,20,30,20,10,5,,,,,,,,,,
2017,5,1,,,5,15,30,30,15,5,,,,,,,,,,,
2017,6,1,,,5,15,30,35,10,5,,,,,,,,,,,
2017,7,.9,,,,,,,,,,,,,,,,,,,
2017,8,1.3,,,4,10,22,35,22,7,,,,,,,,,,,
2017,15,1.4,,,5,5,15,30,20,15,10,,,,,,,,,,
2017,16,1,1,2,7,14,16,18,15,11,9,4,2,1,,,,,,,
2017,20,1.1,,,,10,20,40,25,5,,,,,,,,,,,
2017,23,1.6,,1,2,6,12,23,28,22,5,1,,,,,,,,,
2017,24,1.34,,,8,11,16,24,17,13,11,,,,,,,,,,
2017,26,1.2,,,5,10,30,30,20,5,,,,,,,,,,,
2017,29,.5,,,10,30,40,20,,,,,,,,,,,,,
2017,31,1.5,,,5,10,20,30,30,5,,,,,,,,,,,
2017,32,1.3,0,.1,1.1,6.6,20.1,31.9,26.2,11.2,2.5,.3,0,0,,,,,,,
2017,35,,,,,,,,,,,,,,,,,,,,
2017,37,1.4,,,,,24,40,33,3,,,,,,,,,,,
2017,38,1.4,,,,,20,60,20,,,,,,,,,,,,
2017,39,1.4,,,,15,30,40,15,,,,,,,,,,,,
2017,41,1.5,,,,,,30,70,,,,,,,,,,,,
2017,47,1.4,0,0,0,0,20,35,30,10,5,0,0,0,,,,,,,
2017,48,1.5,,,,,,40,60,,,,,,,,,,,,
2017,49,1.4,,,,,,,,,,,,,,,,,,,
2017,52,1.1,0,0,1,9,28,37,19,5,1,0,0,0,,,,,,,
2017,54,1.2,,,,10,25,50,15,,,,,,,,,,,,
2017,57,1.3,,,,,,,,,,,,,,,,,,,
2017,61,,,,,,,,,,,,,,,,,,,,
2017,63,1.5,,,,10,15,25,35,15,,,,,,,,,,,
2017,67,,,,,,,,,,,,,,,,,,,,
2017,68,1.4,,,,,,,,,,,,,,,,,,,
2017,70,1.1,,,,,30,70,,,,,,,,,,,,,
2017,73,1.4,1,3,5,15,20,20,30,6,0,0,0,0,,,,,,,
2017,80,1.5,0,0,2.1,2.4,16.5,32.3,33.4,10.3,2.7,.3,0,0,,,,,,,
2017,82,1.4,5,5,10,10,15,23,20,5,5,2,0,0,,,,,,,
2017,84,1.4,2,4,6,12,19,25,21,10,1,0,0,0,,,,,,,
2017,85,1.4305,.1,.5,2.2,7.1,15.5,23.1,23.6,16.6,8,2.6,.6,.1,,,,,,,
2017,88,1.42,,,5,12,22.5,25,20.5,10,5,,,,,,,,,,
2017,89,1.8858,1,2,2,2.5,5,10,22.5,27.5,20,5,2.5,,,,,,,,
2017,92,1.056,.4,1.8,6.3,15,23.6,22.5,18.2,9.2,2.3,.6,.1,0,,,,,,,
2017,93,1.5,,,,2.5,5,35,52.5,5,,,,,,,,,,,
2017,94,1.542,.5,1.5,4,8,14,18,21,14,10,6,2,1,,,,,,,
2017,95,1.313,0,0,0,7.5,20.3,35.8,20.3,10.7,5.4,0,0,0,,,,,,,
2017,96,1.1,,,5,10,20,35,20,10,,,,,,,,,,,
2017,98,1.4,,,,5,15,35,30,10,5,,,,,,,,,,
2017,99,1.3,0,0,2,6,15,60,15,2,0,0,0,0,,,,,,,
2017,101,1.2,,,,10,20,50,20,,,,,,,,,,,,
2017,102,1.7,,,,5,10,20,35,30,,,,,,,,,,,
2017,103,1.6,,,,7.5,20,30,35,7.5,,,,,,,,,,,
2017,105,1,,,,,20,80,,,,,,,,,,,,,
2017,107,1.056,.4,1.8,6.3,15,23.6,22.5,18.2,9.2,2.3,.6,.1,0,,,,,,,
2017,110,1.3,.5,1.1,4.1,9.8,17.1,21.8,20.6,14.2,7.2,2.7,.7,.2,,,,,,,
2017,112,1.5,,,,10,20,40,20,10,,,,,,,,,,,
2017,114,,,5,5,10,10,37,15,8,5,5,,,,,,,,,
2017,115,1.5,.5,1,3.3,7.8,14,19.3,20.3,16.4,10.2,4.8,1.8,.6,,,,,,,
2017Mar,4,1.5,,,5,10,15,25,30,10,5,,,,,,,,,,
2017Mar,5,1,,,5,15,30,30,15,5,,,,,,,,,,,
2017Mar,6,.8,,,5,25,35,25,5,5,,,,,,,,,,,
2017Mar,7,,,,,,,,,,,,,,,,,,,,
2017Mar,8,1,,,5,15,27,30,18,5,,,,,,,,,,,
2017Mar,15,1.4,,,,10,15,30,25,15,5,,,,,,,,,,
2017Mar,16,.8,0,4,9,22,24,21,15,2,2,1,0,0,,,,,,,
2017Mar,20,.5,,,5,30,35,25,5,,,,,,,,,,,,
2017Mar,23,1.4,,1,5,12,21,30,25,5,1,,,,,,,,,,
2017Mar,24,1.863,,,,2,10,20,23,21,13,11,,,,,,,,,
2017Mar,26,1,,,5,15,30,30,15,5,,,,,,,,,,,
2017Mar,29,.4,,,10,60,20,10,,,,,,,,,,,,,
2017Mar,31,1.1,,,5,10,30,40,10,5,,,,,,,,,,,
2017Mar,32,,,,,,,,,,,,,,,,,,,,
2017Mar,35,,,,,,,,,,,,,,,,,,,,
2017Mar,37,1.4,,,,5,42,45,8,,,,,,,,,,,,
2017Mar,38,1,,,,,20,60,20,,,,,,,,,,,,
2017Mar,39,1.4,,,,10,20,40,30,,,,,,,,,,,,
2017Mar,41,,,,,,,,,,,,,,,,,,,,
2017Mar,47,,,,,,,,,,,,,,,,,,,,
2017Mar,48,1.3,,,,,5,65,30,,,,,,,,,,,,
2017Mar,49,.8,,,,,,,,,,,,,,,,,,,
2017Mar,52,.8,0,0,3,19,38,28,8,3,1,0,0,0,,,,,,,
2017Mar,54,.9,,,,10,40,40,10,,,,,,,,,,,,
2017Mar,57,1.1,,,,,,,,,,,,,,,,,,,
2017Mar,61,,,,,,,,,,,,,,,,,,,,
2017Mar,63,1.4,,,,10,15,35,25,15,,,,,,,,,,,
2017Mar,67,,,,,,,,,,,,,,,,,,,,
2017Mar,68,1.2,,,,,,,,,,,,,,,,,,,
2017Mar,70,,,,,,,,,,,,,,,,,,,,
2017Mar,73,1.4,,,5,10,25,30,20,10,,,,,,,,,,,
2017Mar,80,,,,,,,,,,,,,,,,,,,,
2017Mar,82,,,,,,,,,,,,,,,,,,,,
2017Mar,84,,,,,,,,,,,,,,,,,,,,
2017Mar,85,1.10454,1,2.6,6.6,12.7,18.6,20.6,17.7,11.5,5.7,2.2,.6,.2,,,,,,,
2017Mar,88,1.23,,,5,12,22.5,25,20.5,10,5,,,,,,,,,,
2017Mar,89,2.0337,,,2.5,2.5,5,10,25,27.5,20,5,2.5,,,,,,,,
2017Mar,92,.8719,1.9,4.6,10.3,17.3,21.5,18.2,14.5,8.1,2.5,.9,.2,0,,,,,,,
2017Mar,93,.8,,,,17.5,57.5,22.5,2.5,,,,,,,,,,,,
2017Mar,94,.924,2,4,8,20,26,16,8,6,4,3,2,1,,,,,,,
2017Mar,95,1.12,0,0,3.7,11.5,24.3,31.8,17.7,8.3,2.7,0,0,0,,,,,,,
2017Mar,96,1.3,,,2,5,15,40,25,10,3,,,,,,,,,,
2017Mar,98,1.5,,,,5,15,30,30,15,5,,,,,,,,,,
2017Mar,99,1,,,,,,,,,,,,,,,,,,,
2017Mar,101,1.2,,,,,,,,,,,,,,,,,,,
2017Mar,102,1.7,,,5,10,10,35,30,10,,,,,,,,,,,
2017Mar,103,1.4,,,,7.5,25,35,30,2.5,,,,,,,,,,,
2017Mar,105,.3,,,15,80,5,,,,,,,,,,,,,,
2017Mar,107,.8719,1.9,4.6,10.3,17.3,21.5,18.2,14.5,8.1,2.5,.9,.2,0,,,,,,,
2017Mar,110,1.4,.4,1,3.6,8.7,15.5,20.8,20.8,15.5,8.7,3.6,1.1,.3,,,,,,,
2017Mar,112,.8,,,5,15,30,20,15,10,5,,,,,,,,,,
2017Mar,114,,,,,7,10,20,40,12,6,5,,,,,,,,,
2017Mar,115,-.1,17.4,12.7,19.85,19.85,15.3,9,4,1.4,.4,.1,0,0,,,,,,,
2018,4,,,,,,,,,,,,,,,,,,,,
2018,5,1.2,,,5,10,20,30,20,10,5,,,,,,,,,,
2018,6,1.5,,,5,10,10,30,35,5,5,,,,,,,,,,
2018,7,1.2,,,,,,,,,,,,,,,,,,,
2018,8,,,,,,,,,,,,,,,,,,,,
2018,15,1.7,,,,5,10,15,30,25,15,,,,,,,,,,
2018,16,1.1,1,2,7,12,16,18,15,13,9,4,2,1,,,,,,,
2018,20,1.6,,,,5,15,20,40,15,5,,,,,,,,,,
2018,23,1.7,,1,2,5,10,20,28,23,10,1,,,,,,,,,
2018,24,1.9,,,2,5,11,16.5,20,17,13,10.5,5,,,,,,,,
2018,26,1.6,,,,5,20,25,25,20,5,,,,,,,,,,
2018,29,.8,,,,20,40,30,10,,,,,,,,,,,,
2018,31,1.7,,,,5,15,25,35,15,5,,,,,,,,,,
2018,32,,,,,,,,,,,,,,,,,,,,
2018,35,,,,,,,,,,,,,,,,,,,,
2018,37,2.2,,,,,,9,42,43,6,,,,,,,,,,
2018,38,1.7,,,,,,20,60,20,,,,,,,,,,,
2018,39,1.5,,,,10,15,30,35,10,,,,,,,,,,,
2018,41,1.7,,,,,,20,70,10,,,,,,,,,,,
2018,47,,,,,,,,,,,,,,,,,,,,
2018,48,,,,,,,,,,,,,,,,,,,,
2018,49,1.6,,,,,,,,,,,,,,,,,,,
2018,52,1.3,0,1,4,10,18,22,21,13,8,3,0,0,,,,,,,
2018,54,1.8,,,,,10,25,40,25,,,,,,,,,,,
2018,57,1.5,,,,,,,,,,,,,,,,,,,
2018,61,,,,,,,,,,,,,,,,,,,,
2018,63,1.9,,,,,10,30,40,20,,,,,,,,,,,
2018,67,,,,,,,,,,,,,,,,,,,,
2018,68,1.7,,,,,,,,,,,,,,,,,,,
2018,70,,,,,,,,,,,,,,,,,,,,
2018,73,1.7,1,3,5,15,20,20,30,6,0,0,0,0,,,,,,,
2018,80,2.1,0,0,0,0,4.5,14.8,24.7,29.6,17.5,6.9,1.7,.3,,,,,,,
2018,82,,,,,,,,,,,,,,,,,,,,
2018,84,1.7,5,3,5,8,12,21,24,16,6,0,0,0,,,,,,,
2018,85,1.92505,.1,.5,1.6,4.2,8.9,14.7,19,19.2,15.3,9.5,4.6,2.4,,,,,,,
2018,88,1.64,,,,5,12,22.5,25,20.5,10,5,,,,,,,,,
2018,89,1.4446,,2.5,2.5,5,12.5,25,30,15,5,2.5,,,,,,,,,
2018,92,1.17476,.2,1.2,4.8,12.7,22,23.1,20.4,11.4,3.2,.9,.1,0,,,,,,,
2018,93,1.8,,,,,2.5,7.5,55,30,5,,,,,,,,,,
2018,94,1.915,.5,1,2,3,5,14,26,24,12,7.5,3,2,,,,,,,
2018,95,1.666,0,0,0,2.7,5.3,25.8,36.3,22.1,7.8,0,0,0,,,,,,,
2018,96,1.3,,,3,5,15,40,25,10,2,,,,,,,,,,
2018,98,1.6,,,,5,15,25,35,15,5,,,,,,,,,,
2018,99,1.6,0,0,0,2,13,30,50,5,0,0,0,0,,,,,,,
2018,101,1.5,,,,5,15,30,45,5,,,,,,,,,,,
2018,102,1.6,,,5,10,10,35,30,10,,,,,,,,,,,
2018,103,1.8,,,,5,15,30,35,10,5,,,,,,,,,,
2018,105,1.3,,,,,,80,20,,,,,,,,,,,,
2018,107,1.17476,.2,1.2,4.8,12.7,22,23.1,20.4,11.4,3.2,.9,.1,0,,,,,,,
2018,110,,,,,,,,,,,,,,,,,,,,
2018,112,1.7,,,,5,10,20,30,20,10,5,,,,,,,,,
2018,114,,,2,8,10,19,40,10,5,5,1,,,,,,,,,
2018,115,,,,,,,,,,,,,,,,,,,,
2018Mar,4,,,,,,,,,,,,,,,,,,,,
2018Mar,5,1.2,,,5,10,20,30,20,10,5,,,,,,,,,,
2018Mar,6,1.5,,,,5,20,30,35,10,,,,,,,,,,,
2018Mar,7,,,,,,,,,,,,,,,,,,,,
2018Mar,8,,,,,,,,,,,,,,,,,,,,
2018Mar,15,1.6,,,,5,10,25,30,20,10,,,,,,,,,,
2018Mar,16,1.1,1,2,10,16,18,16,11,10,9,4,2,1,,,,,,,
2018Mar,20,1.3,,,,5,25,40,25,5,,,,,,,,,,,
2018Mar,23,1.9,,1,2,5,10,20,28,23,10,1,,,,,,,,,
2018Mar,24,1.914,,,1.5,5,12,15,20,17,15,10,4.5,,,,,,,,
2018Mar,26,1.5,,,,5,20,25,25,20,5,,,,,,,,,,
2018Mar,29,.7,,,,20,40,30,10,,,,,,,,,,,,
2018Mar,31,1.7,,,,5,20,25,35,10,5,,,,,,,,,,
2018Mar,32,,,,,,,,,,,,,,,,,,,,
2018Mar,35,,,,,,,,,,,,,,,,,,,,
2018Mar,37,1.8,,,,,2,41,45,12,,,,,,,,,,,
2018Mar,38,1.7,,,,,,20,60,20,,,,,,,,,,,
2018Mar,39,1.4,,,,5,15,35,40,5,,,,,,,,,,,
2018Mar,41,,,,,,,,,,,,,,,,,,,,
2018Mar,47,,,,,,,,,,,,,,,,,,,,
2018Mar,48,,,,,,,,,,,,,,,,,,,,
2018Mar,49,1.5,,,,,,,,,,,,,,,,,,,
2018Mar,52,1.4,0,0,1,6,17,26,25,16,8,1,0,0,,,,,,,
2018Mar,54,1.6,,,,5,10,35,40,10,,,,,,,,,,,
2018Mar,57,1.3,,,,,,,,,,,,,,,,,,,
2018Mar,61,,,,,,,,,,,,,,,,,,,,
2018Mar,63,1.9,,,,,10,30,40,20,,,,,,,,,,,
2018Mar,67,,,,,,,,,,,,,,,,,,,,
2018Mar,68,1.6,,,,,,,,,,,,,,,,,,,
2018Mar,70,,,,,,,,,,,,,,,,,,,,
2018Mar,73,1.6,1,5,7,15,20,20,30,2,,,,,,,,,,,
2018Mar,80,,,,,,,,,,,,,,,,,,,,
2018Mar,82,,,,,,,,,,,,,,,,,,,,
2018Mar,84,,,,,,,,,,,,,,,,,,,,
2018Mar,85,1.74619,.3,.9,2.7,6.1,11,16.1,18.7,17.5,13.1,7.8,3.8,2,,,,,,,
2018Mar,88,1.57,,,,5,12,22.5,25,20.5,10,5,,,,,,,,,
2018Mar,89,1.4563,,2.5,2.5,5,15,25,20,15,10,5,,,,,,,,,
2018Mar,92,1.160335,1.2,3,7.2,13.2,18.8,18.4,17.6,12.4,5,2.3,.7,.2,,,,,,,
2018Mar,93,1.7,,,,,2.5,25,50,17.5,5,,,,,,,,,,
2018Mar,94,1.855,.5,1,4,4.5,8,10,24,23,11,8,4,2,,,,,,,
2018Mar,95,1.557,0,0,0,3.6,14.3,23.2,33.8,16.2,8.9,0,0,0,,,,,,,
2018Mar,96,1.3,,,2,5,15,40,25,10,3,,,,,,,,,,
2018Mar,98,1.6,,,,5,15,25,35,15,5,,,,,,,,,,
2018Mar,99,1.5,,,,,,,,,,,,,,,,,,,
2018Mar,101,1.4,,,,,,,,,,,,,,,,,,,
2018Mar,102,1.8,,,,5,10,10,35,30,10,,,,,,,,,,
2018Mar,103,,,,,,,,,,,,,,,,,,,,
2018Mar,105,1.1,,,,,25,70,5,,,,,,,,,,,,
2018Mar,107,1.1603,1.2,3,7.2,13.2,18.8,18.4,17.6,12.4,5,2.3,.7,.2,,,,,,,
2018Mar,110,,,,,,,,,,,,,,,,,,,,
2018Mar,112,1.7,,,,5,10,20,30,20,10,5,,,,,,,,,
2018Mar,114,,,5,5,10,15,37,10,8,5,5,,,,,,,,,
2018Mar,115,,,,,,,,,,,,,,,,,,,,
2020,4,1.7,,,,5,10,20,30,20,10,5,,,,,,,,,
2020,5,1.7,,,,5,10,20,30,20,10,5,,,,,,,,,
2020,6,1.8,,,,,5,20,40,30,5,,,,,,,,,,
2020,7,1.6,,,,,,,,,,,,,,,,,,,
2020,8,1.9,,,1,3,12,20,25,22,10,4,2,1,,,,,,,
2020,15,1.9,,,,,5,20,35,20,15,5,,,,,,,,,
2020,16,1.7,5,5,6,7,13,14,16,12,9,7,5,1,,,,,,,
2020,20,1.9,,,,10,15,20,27,20,8,,,,,,,,,,
2020,23,2,,1,2,4,10,15,19,17,15,11,5,1,,,,,,,
2020,24,1.9,,1,2.5,6,10,16.5,18,16.5,12,9,6,2.5,,,,,,,
2020,26,1.8,,,2.5,5,12.5,17.5,25,17.5,12.5,5,2.5,,,,,,,,
2020,29,1.5,,,,,10,30,40,20,,,,,,,,,,,
2020,31,1.8,,,,,10,30,40,15,5,,,,,,,,,,
2020,32,,,,,,,,,,,,,,,,,,,,
2020,35,,,,,,,,,,,,,,,,,,,,
