INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2019,1,1.7,,,1,2,7,28,50,8,4,,,,,,,,,,,,
2019,2,1.3,0,0,0,0,20,60,20,0,0,0,0,0,,,,,,,,,
2019,4,1,,,,20,30,30,20,,,,,,,,,,,,,,
2019,5,1.7,,,,,5,35,45,10,5,,,,,,,,,,,,
2019,6,1.6,,,,,,20,60,20,,,,,,,,,,,,,
2019,7,1.4300610928,,,,,,,,,,,,,,,,,,,,,
2019,10,1.2,,,,,30,60,10,,,,,,,,,,,,,,
2019,14,2.1,0,0,0,0,0,5,38,43,13,1,0,0,,,,,,,,,
2019,15,1.7,,,,,5,30,35,25,5,,,,,,,,,,,,
2019,16,1.6,0,0,1,2,10,20,36,20,8,2,1,0,,,,,,,,,
2019,20,1.3,,,,5,25,45,20,5,,,,,,,,,,,,,
2019,22,1.4,,,,,15,35,35,15,,,,,,,,,,,,,
2019,23,1.5,,,,,9,25,30,20,15,1,,,,,,,,,,,
2019,24,1.3,,,0,5,22,36,26,11,,,,,,,,,,,,,
2019,26,1.4,,,,5,20,35,25,10,5,,,,,,,,,,,,
2019,32,1.4,.0000058917,.0008340647,.06783441,1.7227564606,14.1865857874,38.3278911005,34.4117507352,10.2521166943,.9987596413,.0311591625,.0003051279,.0000009239,,,,,,,,,
2019,33,1.7,0,0,0,3,10,21,36,15,11,4,0,0,,,,,,,,,
2019,35,1.5,,,,,5,35,60,,,,,,,,,,,,,,
2019,36,2,,,,,,20,30,40,10,,,,,,,,,,,,
2019,37,1.5,,,,,,24,72,4,,,,,,,,,,,,,
2019,38,1.5,,,,,,45,55,,,,,,,,,,,,,,
2019,39,1.5,,,,,10,27,38,20,5,,,,,,,,,,,,
2019,41,1.7,,,,,,,70,30,,,,,,,,,,,,,
2019,42,1.8,,,,,,20,50,30,,,,,,,,,,,,,
2019,45,1.6,,,,,,,,,,,,,,,,,,,,,
2019,47,1.5,,,5,10,20,35,25,5,,,,,,,,,,,,,
2019,48,1.6,,,,,,20,80,,,,,,,,,,,,,,
2019,52,1.8,0,0,0,1,4,17,44,28,5,1,0,0,,,,,,,,,
