INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2021,1,1.5,,,1,3,9,33,35,13,5,1,,,,,,,,,,,
2021,2,.7,0,0,0,20,70,10,0,0,0,0,0,0,,,,,,,,,
2021,4,.6,2.5,1,5,25,30,20,10,5,1.5,,,,,,,,,,,,
2021,5,.9,,,,5,40,35,20,0,,,,,,,,,,,,,
2021,6,.6,,,,40,40,15,5,,,,,,,,,,,,,,
2021,7,.9428951383,,,,,,,,,,,,,,,,,,,,,
2021,14,-.3,3,25,47,23,2,0,0,0,0,0,0,0,,,,,,,,,
2021,15,1.1,,,5,15,25,25,15,10,5,,,,,,,,,,,,
2021,16,.9,6,5,8,16,20,17,13,10,4,1,0,0,,,,,,,,,
2021,20,.8,,,12,15,30,25,15,3,,,,,,,,,,,,,
2021,22,1,,,,10,30,50,10,,,,,,,,,,,,,,
2021,23,.9,,5,10,20,30,20,10,5,,,,,,,,,,,,,
2021,24,.8602338992,1,2,5,20,25,30,12,4,1,,,,,,,,,,,,
2021,26,1.3,,5,5,10,20,25,15,10,5,5,,,,,,,,,,,
2021,29,.8,0,1,4.5,12,60,15,5,1,.5,.5,.5,0,,,,,,,,,
2021,30,1.28,,,,,25,45,25,5,,,,,,,,,,,,,
2021,32,1.7,0,.0000000135,.0000451719,.0222727883,1.7303310553,22.3048864269,51.7098578443,22.4555238712,1.7542889245,.0227480673,.000045823,.0000000138,,,,,,,,,
2021,33,1.1,,1,5,16,22,25,17,10,4,0,,,,,,,,,,,
2021,37,.8,,,1,7,70,22,,,,,,,,,,,,,,,
2021,38,.7217787186,,,,45,55,,,,,,,,,,,,,,,,
2021,39,1,,,10,20,25,30,15,,,,,,,,,,,,,,
2021,41,.7,,,,,70,30,,,,,,,,,,,,,,,
2021,42,.4,,,20,50,30,,,,,,,,,,,,,,,,
2021,45,1.3,,,,5,20,40,25,10,,,,,,,,,,,,,
2021,47,.7,,,5,20,50,15,5,5,,,,,,,,,,,,,
2021,48,,,,,,,,,,,,,,,,,,,,,,
2021,49,.9,,,,,,,,,,,,,,,,,,,,,
2021,54,,,,30,45,15,10,,,,,,,,,,,,,,,
2021,56,.8,,,,10,60,30,,,,,,,,,,,,,,,
2021,61,.8,,,5,20,45,25,5,,,,,,,,,,,,,,
2021,63,1.2,,,,5,30,50,10,5,,,,,,,,,,,,,
2021,65,1.1,,,,10,20,40,20,10,,,,,,,,,,,,,
2021,68,.8,,,,,,,,,,,,,,,,,,,,,
2021,70,.8,,,,,,,,,,,,,,,,,,,,,
2021,73,.9,,,5,10,25,50,10,,,,,,,,,,,,,,
2021,80,.9,0,0,1.4373716632,19.5071868583,42.0944558522,28.3367556468,7.5975359343,1.0266940452,0,0,0,0,,,,,,,,,
