INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN4_0,FN4_0TN3_6,FN3_5TN3_1,FN3_0TN2_6,FN2_5TN2_1,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,
2020,1,.3,,,,,,,,4,16,45,30,4,1,,,,,,,,,
2020,2,.2,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,,,,
2020,4,.2,,,,,,,,,10,80,10,,,,,,,,,,,
2020,5,.3,,,,,,,,,10,70,20,,,,,,,,,,,
2020,6,.2,,,,,,,,5,10,75,5,5,,,,,,,,,,
2020,7,.5,,,,,,,,,,,,,,,,,,,,,,
2020,8,.3,,,,,,,,,,90,10,,,,,,,,,,,
2020,10,.4,,,,,,,,,10,80,10,,,,,,,,,,,
2020,14,.3,,,,,,,0,0,0,100,0,0,0,0,0,0,0,0,,,,
2020,15,.3,,,,,,,,,10,55,35,,,,,,,,,,,
2020,16,.3,0,0,0,0,1,2,3,7,24,27,24,7,2,2,1,0,0,0,,,,
2020,20,.3,,,,,,,,,25,40,35,,,,,,,,,,,
2020,22,.2,,,,,,,,,5,85,10,,,,,,,,,,,
2020,23,.3,,,,,,,,,5,50,40,5,,,,,,,,,,
2020,24,.224,,,,,,,,5,28,40,20,5,2,,,,,,,,,
2020,26,.3,,,,,,,5,10,20,25,20,15,5,,,,,,,,,
2020,29,.4,0,1,1,1,1,1,1,5,10,59.5,10,5,1,1,1,1,.5,0,,,,
2020,30,.273,,,,,,,,,,100,,,,,,,,,,,,
2020,32,.4,0,0,0,0,0,0,0,0,1.764,57.301,40.424,.511,0,0,0,0,0,0,,,,
2020,33,.3,,,,,,,0,4,24,36,21,11,3,1,,,,,,,,
2020,35,,,,,,,,,,,70,30,,,,,,,,,,,
2020,36,.5,,,,,,,,10,20,30,30,10,,,,,,,,,,
2020,37,.3,,,,,,,,,1,98,1,,,,,,,,,,,
2020,38,.26589,,,,,,,,,,55,45,,,,,,,,,,,
2020,39,.3,,,,,,,,5,30,50,15,,,,,,,,,,,
2020,41,.3,,,,,,,,,0,100,,,,,,,,,,,,
2020,42,.2,,,,,,,,,25,50,25,,,,,,,,,,,
2020,45,.425,,,,,,,,,5,50,40,5,,,,,,,,,,
2020,47,.2,,,,,,,,,,,,,,,,,,,,,,
2020,48,,,,,,,,,,,,,,,,,,,,,,,
2020,49,.4,,,,,,,,,,,,,,,,,,,,,,
2020,52,.3,0,0,0,0,0,0,1,3,10,51,22,8,4,1,0,0,0,0,,,,
2020,54,,,,,,,,,,40,50,10,,,,,,,,,,,
2020,56,.3,,,,,,,,,0,80,20,0,,,,,,,,,,
2020,63,.3,,,,,,,,,,90,10,,,,,,,,,,,
2020,65,.1,,,,,,,,,30,50,20,,,,,,,,,,,
2020,68,.4,,,,,,,,,,,,,,,,,,,,,,
2020,70,.3,,,,,,,,,10,90,,,,,,,,,,,,
2020,80,.3,0,0,0,0,0,0,0,0,7.5897,73.9483,18.462,0,0,0,0,0,0,0,,,,
2020,85,.2751,0,0,0,0,0,0,0,0,3.036,70.35,26.525,.089,0,0,0,0,0,0,,,,
2020,88,.3,,,,,,,,,,,,,,,,,,,,,,
2020,89,.21,0,0,0,0,0,0,0,0,25,70,5,0,0,0,0,0,0,0,,,,
2020,90,.2,0,0,0,1,1,2.5,5,10,15,30,20,7,5,2.5,1,0,0,0,,,,
2020,93,.2,,,,,,,,2.5,36.5,60,1,,,,,,,,,,,
2020,95,.2219660648,.0137216746,.0604791222,.2240812382,.6979224439,1.8273026589,4.0217536081,7.4408420644,11.5725846279,15.1300476813,16.6284542701,15.3626139286,11.9310868001,7.7892662026,4.2747895582,1.972125669,.7648144494,.2493326972,.0387813053,,,,
2020,96,.3,,,,,,,,5,15,40,25,10,5,,,,,,,,,
2020,97,.2,,,,,,,,,,,,,,,,,,,,,,
2020,98,.4,,,,,,,,,5,75,20,,,,,,,,,,,
2020,99,.3,,,,,,,,,,85,15,,,,,,,,,,,
2020,101,.3,,,,,,,,,,90,10,,,,,,,,,,,
2020,103,.3,,,,,,,,,,,,,,,,,,,,,,
2020,105,.5,,,,,,,,,,15,85,,,,,,,,,,,
2020,107,.3,0,0,0,0,0,0,0,0,0,94.06,5.94,0,0,0,0,0,0,0,,,,
2020,109,.25,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,,,,
2020,110,.4,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,,,,
2020,111,.3,,,,,,,,,,,,,,,,,,,,,,
2020,112,.3,,,,,,,5,10,20,30,20,10,5,,,,,,,,,
2020,114,.2,,,,,,,,,,,,,,,,,,,,,,
2020,115,.2,0,.002,.018,.114,.549,1.998,5.488,11.383,17.834,21.103,18.864,12.735,6.494,2.501,.727,.16,.0264,.0036,,,,
2020,116,.3,,,,,,,,,,,,,,,,,,,,,,
2020,117,.3,,,,,,,,,,,,,,,,,,,,,,
2020,119,,,,,,,,,5,5,10,60,10,5,5,,,,,,,,
2020,121,.23,0,0,0,0,0,1,5,13,22,25,20,10,3,1,0,0,0,0,,,,
2020,127,.2,0,0,0,0,0,2,5,10,17,30,17,11,5,2,1,0,0,0,,,,
2020,128,.4,,,,,,,,,5,80,15,,,,,,,,,,,
2020,131,.4,,,,,,,,5,15,55,15,10,,,,,,,,,,
2021,1,1.5,,,,,,,,,1,3,9,30,38,13,5,1,,,,,,
2021,2,1,0,0,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,,,,
2021,4,.2,,,,,,,2.5,5,20,30,20,15,5,2.5,,,,,,,,
2021,5,1.2,,,,,,,,,,5,30,40,20,5,,,,,,,,
2021,6,.2,,,,,,,,5,20,45,25,5,,,,,,,,,,
2021,7,1.1,,,,,,,,,,,,,,,,,,,,,,
2021,8,1.1,,,,,,,,,5,15,20,35,15,7,3,,,,,,,
2021,10,1,,,,,,,,,5,5,30,55,5,,,,,,,,,
2021,14,.5,,,,,,,0,3,16,35,32,12,2,0,0,0,0,0,,,,
2021,15,1.1,,,,,,,,,5,10,30,30,15,10,,,,,,,,
2021,16,.6,0,0,0,0,1,2,3,5,8,18,20,15,13,10,4,1,0,0,,,,
2021,20,.8,,,,,,,,,12,15,30,25,15,3,,,,,,,,
2021,22,1.1,,,,,,,,,,,40,45,15,,,,,,,,,
2021,23,.9,,,,,,,,,5,15,30,25,20,5,,,,,,,,
2021,24,.659,,,,,,,1,2.5,7.5,25,30,20,11.5,2.5,,,,,,,,
2021,26,1.2,,,,,,,,5,10,15,20,25,15,5,5,,,,,,,
2021,29,1.2,0,1,1,1,1,1,1,2,3,10,15,40,15,5,2,1,1,0,,,,
2021,30,.792,,,,,,,,,,5,70,25,,,,,,,,,,
2021,32,1.6,0,0,0,0,0,0,0,.008,.182,1.984,10.5,26.88,33.425,20.2,5.923,.839,.057,.002,,,,
2021,33,1.1,,,,,,,,1,5,17,22,26,15,10,4,0,,,,,,
2021,35,,,,,,,,,,,10,50,40,,,,,,,,,,
2021,36,1,,,,,,,,,10,20,30,30,10,,,,,,,,,
2021,37,1,,,,,,,,,1,3,44,46,5,1,,,,,,,,
2021,38,1.1279,,,,,,,,,,,20,80,,,,,,,,,,
2021,39,1,,,,,,,,,5,15,30,30,20,,,,,,,,,
2021,41,1.2,,,,,,,,,,,20,50,30,,,,,,,,,
2021,42,.9,,,,,,,,,,10,55,30,5,,,,,,,,,
2021,45,1.35,,,,,,,,,,5,20,35,25,10,5,,,,,,,
2021,47,.6,,,,,,,,,,,,,,,,,,,,,,
2021,48,,,,,,,,,,,,,,,,,,,,,,,
2021,49,.6,,,,,,,,,,,,,,,,,,,,,,
2021,52,.9,0,0,0,0,0,0,0,1,5,18,36,23,12,4,1,0,0,0,,,,
2021,54,,,,,,,,,,30,40,20,10,,,,,,,,,,
2021,56,.8,,,,,,,,,,10,60,20,10,,,,,,,,,
2021,63,1.1,,,,,,,,,,,30,60,10,,,,,,,,,
2021,65,1.1,,,,,,,,,5,15,30,30,20,,,,,,,,,
2021,68,.9,,,,,,,,,,,,,,,,,,,,,,
2021,70,.6,,,,,,,,,10,25,60,5,,,,,,,,,,
2021,80,.9,0,0,0,0,0,0,0,.3077,5.7436,26.2565,31.1794,22.2564,10.7692,2.5641,.9231,0,0,0,,,,
2021,85,.75695,0,0,0,0,0,0,.002,.1265,2.715,18.539,41.089,29.8785,7.096,.541,.013,0,0,0,,,,
2021,88,.6,,,,,,,,,,,,,,,,,,,,,,
2021,89,.82,0,0,0,0,0,0,2.5,5,10,25,35,15,5,2.5,0,0,0,0,,,,
2021,90,.9,0,0,0,0,2,2,3,5,10,20,25,20,10,2,1,0,0,0,,,,
2021,93,.8,,,,,,,,,1,22,55,12.5,7.5,2,,,,,,,,
2021,95,-.0919199207,.158550137,.4342949563,1.0471484292,2.2224755971,4.1521310498,6.8282654988,9.8845076461,12.5951974429,14.1273340285,13.9482827774,12.1223430129,9.2737992296,6.2450239193,3.7018244402,1.9315360863,.8871460638,.3586680811,.0814716037,,,,
2021,96,.6,,,,,,,2,5,15,20,28,15,10,5,,,,,,,,
2021,97,.4,,,,,,,,,,,,,,,,,,,,,,
2021,98,1.4,,,,,,,,,5,10,30,35,20,,,,,,,,,
2021,99,1.14,,,,,,,,,,,20,75,5,,,,,,,,,
2021,101,.7,,,,,,,,,5,20,50,20,5,,,,,,,,,
2021,103,.9,,,,,,,,,,,,,,,,,,,,,,
2021,105,1.2,,,,,,,,,,,,90,10,,,,,,,,,
2021,107,1.2,0,0,0,0,0,0,0,.025,.582,5.542,22.043,36.909,26.1,7.777,.97,.05,.002,0,,,,
2021,109,.825,0,0,0,0,0,0,0,0,5,20,35,30,5,5,0,0,0,0,,,,
2021,110,1.2,0,0,0,0,0,0,.01,.169,1.588,7.997,21.596,31.3342,24.45,10.253,2.306,.278,.0178,.001,,,,
2021,111,,,,,,,,,,,,,,,,,,,,,,,
2021,112,.8,,,,,,,,5,10,20,30,20,10,5,,,,,,,,
2021,114,.6,,,,,,,,,,,,,,,,,,,,,,
2021,115,1,0,0,.001,.001,.039,.221,.952,3.095,7.599,14.089,19.73,20.8722,16.673,10.061,4.585,1.578,.41,.0938,,,,
2021,116,1.1,,,,,,,,,,,,,,,,,,,,,,
2021,117,.8,,,,,,,,,,,,,,,,,,,,,,
2021,119,,,,,,,,,,5,5,10,60,10,5,5,,,,,,,
2021,121,.92,0,0,0,0,0,2,3,7,10,17,22,25,10,3,1,0,0,0,,,,
2021,127,.5,0,0,0,0,0,.5,1,5,10,15,25,17,14,7,4,1,.5,0,,,,
2021,128,1.2,,,,,,1,1,2,4,7,15,40,15,7,4,2,1,1,,,,
2021,131,.9,,,,,,,,,8,15,45,25,7,,,,,,,,,
2021Sep,1,1.5,,,,,,,,,1,3,9,30,38,13,5,1,,,,,,
2021Sep,2,1.3,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,,,,
2021Sep,4,.5,,,,,,2.5,2.5,5,15,25,25,15,5,2.5,2.5,,,,,,,
2021Sep,5,1.2,,,,,,,,,,10,20,35,25,10,,,,,,,,
2021Sep,6,.6,,,,,,,,,5,35,45,15,,,,,,,,,,
2021Sep,7,,,,,,,,,,,,,,,,,,,,,,,
2021Sep,8,1.7,,,,,,,,,,5,10,25,30,20,10,,,,,,,
2021Sep,10,1.2,,,,,,,,,,5,25,55,10,5,,,,,,,,
2021Sep,14,.8,,,,,,,0,1,10,23,31,25,8,2,0,0,0,0,,,,
2021Sep,15,,,,,,,,,,,,,,,,,,,,,,,
2021Sep,16,.7,0,0,0,0,1,2,3,5,8,16,20,17,13,10,4,1,0,0,,,,
2021Sep,20,1,,,,,,,,,2,13,25,30,17,10,3,,,,,,,
2021Sep,22,1.1,,,,,,,,,,15,25,45,15,,,,,,,,,
2021Sep,23,1.2,,,,,,,,2,7,15,20,25,20,10,1,,,,,,,
2021Sep,24,.9844,,,,,,,,2.5,5,15,24,28,18,5,2.5,,,,,,,
2021Sep,26,1.7,,,,,,,,2,3,10,15,20,25,15,7,3,,,,,,
2021Sep,29,1,0,1,1,1,1,1,1,2,3,10,15,40,15,5,2,1,1,0,,,,
2021Sep,30,1.06,,,,,,,,,,,,,,,,,,,,,,
2021Sep,32,1.9,,,,,,,,,,,,,,,,,,,,,,
2021Sep,33,,,,,,,,,,,,,,,,,,,,,,,
2021Sep,35,,,,,,,,,,,,,,,,,,,,,,,
2021Sep,36,1,,,,,,,,,10,20,30,30,10,,,,,,,,,
2021Sep,37,1.5,,,,,,,,,,,2,47,49,2,,,,,,,,
2021Sep,38,,,,,,,,,,,,,,,,,,,,,,,
2021Sep,39,1.8,,,,,,,,,,5,15,25,35,15,5,,,,,,,
2021Sep,41,,,,,,,,,,,,,,,,,,,,,,,
2021Sep,42,,,,,,,,,,,,,,,,,,,,,,,
2021Sep,45,,,,,,,,,,,,,,,,,,,,,,,
2021Sep,47,1,,,,,,,,,,,,,,,,,,,,,,
2021Sep,48,,,,,,,,,,,,,,,,,,,,,,,
2021Sep,49,.7,,,,,,,,,,,,,,,,,,,,,,
2021Sep,52,1.1,0,0,0,0,0,0,0,1,3,9,24,36,20,6,1,0,0,0,,,,
2021Sep,54,,,,,,,,,,30,40,20,10,,,,,,,,,,
2021Sep,56,1.3,,,,,,,,,,5,20,40,20,10,5,,,,,,,
2021Sep,63,1.3,,,,,,,,,,,10,65,25,,,,,,,,,
2021Sep,65,,,,,,,,,,,,,,,,,,,,,,,
2021Sep,68,1,,,,,,,,,,,,,,,,,,,,,,
