INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2016,1,.3,,,30,60,10,,,,,,,,,,,,,,
2016,4,.3,,5,20,40,25,10,,,,,,,,,,,,,
2016,5,.2,,,25,50,25,,,,,,,,,,,,,,
2016,6,.3,,5,35,50,10,,,,,,,,,,,,,,
2016,7,.2,,,,,,,,,,,,,,,,,,,
2016,10,.3,,,20,70,10,,,,,,,,,,,,,,
2016,15,.3,,,10,65,25,,,,,,,,,,,,,,
2016,16,.4,4,9,21,24,22,15,2,2,1,0,0,0,,,,,,,
2016,20,.2,,,25,45,25,5,,,,,,,,,,,,,
2016,22,.2,,,35,40,25,,,,,,,,,,,,,,
2016,23,.3,,1,26,40,27,5,1,,,,,,,,,,,,
2016,24,.2,,15,22.5,30,22.5,10,,,,,,,,,,,,,
2016,26,.2,,,30,45,25,,,,,,,,,,,,,,
2016,29,.3,,,10,70,20,,,,,,,,,,,,,,
2016,30,.1,,,10,70,20,,,,,,,,,,,,,,
2016,31,.7,,,5,10,50,25,10,,,,,,,,,,,,
2016,32,.2,.0000004784,.0167637451,11.5785236155,76.7157944853,11.6718435384,.0170740205,.0000001168,0,0,0,0,0,,,,,,,
2016,35,.3,,,,70,30,,,,,,,,,,,,,,
2016,37,.3,,,3,88,9,,,,,,,,,,,,,,
2016,38,.2,,,20,60,20,,,,,,,,,,,,,,
2016,39,.3,,,10,40,30,15,5,,,,,,,,,,,,
2016,41,.4,,,20,60,20,,,,,,,,,,,,,,
2016,45,.2,,,15,70,15,,,,,,,,,,,,,,
2016,47,.3,0,5,10,40,30,15,0,0,0,0,0,0,,,,,,,
2016,48,.1,,,30,70,,,,,,,,,,,,,,,
2016,49,.2,,,,,,,,,,,,,,,,,,,
2016,54,.4,,,10,60,30,,,,,,,,,,,,,,
2016,57,.1,,,,,,,,,,,,,,,,,,,
2016,61,.2,,5,15,50,20,10,,,,,,,,,,,,,
2016,67,,,,,,,,,,,,,,,,,,,,
2016,68,.2,,,,,,,,,,,,,,,,,,,
2016,70,.1,,,10,80,10,,,,,,,,,,,,,,
2016,80,0,0,3.4843205575,45.6445993032,42.8571428571,8.0139372822,0,0,0,0,0,0,0,,,,,,,
2016,82,.2,,,,,,,,,,,,,,,,,,,
2016,85,.2081136069,.4445368653,4.857722985,21.5849686364,38.055428517,26.7359410773,7.464592971,.8210603759,.035165365,.0005795601,.0000036384,.0000000086,0,,,,,,,
2016,89,.3077231148,2.5,5,15,50,15,5,2.5,2.5,2.5,0,,,,,,,,,
2016,91,0,0,10,20,40,20,10,0,0,0,0,0,0,,,,,,,
2016,92,.2725736993,.0000001844,.0171533643,10.3085426379,75.079685063,14.5571936678,.0374226564,.0000024262,0,0,0,0,0,,,,,,,
2016,93,.3,,,15,70,15,,,,,,,,,,,,,,
2016,94,.2,3,8,24.5,38,12,8,3,2,1,.5,,,,,,,,,
2016,95,.2289677537,8.0551704279,10.8166153377,18.4962815267,22.7457077706,19.7735888974,12.9375634007,5.5208247646,1.3324324958,.2759906618,.0404453551,.0041934166,.0011859451,,,,,,,
2016,96,.3,,2,15,45,35,3,,,,,,,,,,,,,
2016,98,.3,,,5,75,20,,,,,,,,,,,,,,
2016,99,.3,0,0,5,90,5,0,0,0,0,0,0,0,,,,,,,
2016,101,.2,,,5,80,15,,,,,,,,,,,,,,
2016,102,.4,,,15,75,10,,,,,,,,,,,,,,
2016,103,.3,,,15,70,15,,,,,,,,,,,,,,
2016,105,.2,,,25,75,,,,,,,,,,,,,,,
2016,110,.2,0,.0000091773,2.5248546462,87.8603584063,9.614526068,.0002517022,0,0,0,0,0,0,,,,,,,
2016,112,.3,,10,20,40,15,10,5,,,,,,,,,,,,
2016,114,.4,,3,10,45,30,10,2,,,,,,,,,,,,
2017,1,.7,,,,20,60,20,,,,,,,,,,,,,
2017,4,1.4,,,5,10,20,30,20,10,5,,,,,,,,,,
2017,5,1,,,5,15,30,30,15,5,,,,,,,,,,,
