INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN4_0,FN4_0TN3_6,FN3_5TN3_1,FN3_0TN2_6,FN2_5TN2_1,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,
2021,22,1.6,,,,,,,,,0,10,15,20,40,15,,,,,,,,
2021,23,1.6,,,,,,,,,5,10,15,20,25,15,10,,,,,,,
2021,24,1.074473486,,,,,,,,3,5,13,24,22,18,8,7,,,,,,,
2021,26,1.8,,,,,,,,,5,10,15,20,25,15,5,5,,,,,,
2021,30,.7,,,,,,,,,,,,,,,,,,,,,,
2021,31,2,,,,,,,,,,,,,,,,,,,,,,
2021,32,1.2,.0002066748,.0010708655,.0068408139,.0348668441,.1470224204,.5129226475,1.4806276063,4.0574571708,7.4058677421,11.8584839051,15.7826786202,17.3555924142,15.7946304677,11.89565558,7.414279617,3.8241886694,1.632236387,.795371554,,,,
2021,33,1.8,,,,,,,,,,5,10,17,24,24,17,3,,,,,,
2021,36,1.25,,,,,,,,5,5,15,25,30,15,5,,,,,,,,
2021,37,2,,,,,,,,,,1,5,21,28,30,11,4,,,,,,
2021,38,1.1,,,,,,,,,,,45,55,,,,,,,,,,
2021,39,1.7,,,,,,,,,,,10,20,40,25,5,,,,,,,
2021,41,1.1,,,,,,,,,,,40,60,,,,,,,,,,
2021,42,,,,,,,,,,,15,50,30,5,,,,,,,,,
2021,45,,,,,,,,,,5,15,35,20,15,10,,,,,,,,
2021,52,1.2,0,0,0,0,0,0,0,1,2,8,24,35,20,7,2,1,0,0,,,,
2021,54,,,,,,,,,,,20,50,30,,,,,,,,,,
2021,56,.8,,,,,,,,,5,15,40,30,10,,,,,,,,,
2021,61,,,,,,,,,,,,,,,,,,,,,,,
2021,63,1.4,,,,,,,,,,,25,40,25,10,,,,,,,,
2021,65,1.3,,,,,,,,,2.5,10,20,35,20,10,2.5,,,,,,,
2021,68,1,,,,,,,,,,,,,,,,,,,,,,
2021,73,.4,,,,,,,,,5,60,35,,,,,,,,,,,
2021,82,1.3,,,,,,,,,,,,,,,,,,,,,,
2021,89,1.4,,,,,,,0,0,.1,1.8,25.8,41.3,22.7,7.8,.5,0,0,0,,,,
2021,90,.9,0,0,0,0,2,2,3,5,10,20,25,20,10,2,1,0,0,0,,,,
2021,93,1.8,,,,,,,,,,2.5,10,12.5,35,25,15,,,,,,,
2021,95,1.0328225758,.0000005269,.0000121445,.0002055683,.002555592,.0233337955,.1564724037,.7706347946,2.7875198358,7.4053538025,14.4488123783,20.705083398,21.7911580108,16.8438796135,9.562301677,3.9869541965,1.2208956462,.274583437,.0202431789,,,,
2021,96,1.3,,,,,,,,,3,5,10,30,25,15,5,7,,,,,,
2021,97,1,,,,,,,,,,,,,,,,,,,,,,
2021,98,.3,,,,,,,,5,10,40,35,10,,,,,,,,,,
2021,99,1.6,,,,,,,,,,,,35,65,,,,,,,,,
2021,101,1.2,,,,,,,,,5,15,25,30,20,5,,,,,,,,
2021,102,1.3,,,,,,,,,,,,,,,,,,,,,,
2021,103,1.7,,,,,,,,,,,,,,,,,,,,,,
2021,105,1.3,,,,,,,,,,,,90,10,,,,,,,,,
2021,107,1.2521954371,0,0,0,.0000000017,.0000004356,.0000520025,.0029693007,.0814641567,1.0795073121,6.9467340869,21.8158292685,33.5549723555,25.3150781869,9.3586718782,1.6899394363,.1483542528,.0062974835,.0001298421,,,,
2021,108,-.499193825,,,,,.24,6.23,14.65,23.08,26.15,18.1,9.72,1.83,,,,,,,,,,
2021,110,.7,,,,,,,,,,,,,,,,,,,,,,
2021,112,.7,,,,,,,,5,10,20,30,20,10,5,,,,,,,,
2021,114,1.4,,,,,,,,,,,,,,,,,,,,,,
2021,115,1,.0000020471,.0000202995,.0003188239,.0035590461,.0295744602,.1829983152,.8434549212,2.8965791962,7.4135211824,14.1437598209,20.1171998008,21.333721965,16.8681681504,9.943711634,4.3697629406,1.4312642482,.3493297433,.073053405,,,,
2021,117,.5,,,,,,,,,,,,,,,,,,,,,,
2021,119,1.1,,,,,,,,,5,5,10,60,10,5,5,,,,,,,
2021,121,1.8,0,0,0,0,0,0,2,3,7,10,17,22,25,10,3,1,0,0,,,,
2021,127,1.7,0,0,0,0,0,0,2.6051633318,2.0691468739,4.4991396558,7.796359283,11.5460303556,14.6136149629,15.8077532949,14.6140740213,11.5467557714,7.7970940613,4.4997050563,2.6051633318,,,,
2021,128,1.2,,,,,,1,1,2,4,7,15,40,15,7,4,2,1,1,,,,
2021Mar,1,2.5,,,,,,,,,1,2,4,15,20,24,25,6,2,1,,,,
2021Mar,2,.8,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,,,,
2021Mar,4,2,,,,,,1,1,1,2,4,10,15,17.5,17.5,17.5,10,2.5,1,,,,
2021Mar,5,1.4,,,,,,,,,,5,15,35,30,15,,,,,,,,
2021Mar,6,.9,,,,,,,,,,15,50,25,10,,,,,,,,,
2021Mar,8,.9,,,,,,,5,7,10,18,25,20,10,5,,,,,,,,
2021Mar,14,2,,,,,,,0,1,4,16,31,30,14,4,0,0,0,0,,,,
2021Mar,15,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,16,.5,0,0,0,0,1,2,3,5,8,15,20,18,13,10,4,1,0,0,,,,
2021Mar,20,.5,,,,,,,,2,13,25,30,17,10,3,,,,,,,,
2021Mar,22,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,23,1.2,,,,,,,,,6,11,18,22,23,13,7,,,,,,,
2021Mar,24,.7930614887,,,,,,,,3,7,25,20,25,15,5,,,,,,,,
2021Mar,26,1.8,,,,,,,,,5,10,15,20,25,15,5,5,,,,,,
2021Mar,30,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,31,.9,,,,,,,,,,,,,,,,,,,,,,
2021Mar,32,1.1,,,,,,,,,,,,,,,,,,,,,,
2021Mar,33,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,36,1.25,,,,,,,,5,5,15,25,30,15,5,,,,,,,,
2021Mar,37,1.8,,,,,,,,,,2,8,27,35,26,2,,,,,,,
2021Mar,38,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,39,1.8,,,,,,,,,,,10,25,40,15,10,,,,,,,
2021Mar,41,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,42,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,45,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,52,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,54,,,,,,,,,,,20,50,30,,,,,,,,,,
2021Mar,56,.2,,,,,,,,,20,40,20,10,5,5,,,,,,,,
2021Mar,61,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,63,1.4,,,,,,,,,,,25,40,25,10,,,,,,,,
2021Mar,65,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,68,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,73,.5,,,,,,,,,,45,55,,,,,,,,,,,
2021Mar,82,1,,,,,,,,,,,,,,,,,,,,,,
2021Mar,89,1.3,,,,,,,,,,,,,,,,,,,,,,
2021Mar,90,.6,0,0,0,.5,1.5,2,5,10,15,18,18,13,10,5,2,0,0,0,,,,
2021Mar,93,1.3,,,,,,,,,,5,20,45,22.5,5,2.5,,,,,,,
2021Mar,95,.9983250592,.0000160112,.0001998267,.0019422708,.0147025407,.0866765041,.397957563,1.4229790898,3.9626585624,8.5941151466,14.5158363183,19.0945459692,19.5615376311,15.607129079,9.6977153971,4.6929100101,1.7686479611,.5191190288,.06131109,,,,
2021Mar,96,1.2,,,,,,,,,3,10,15,30,25,10,5,2,,,,,,
2021Mar,97,1.1,,,,,,,,,,,,,,,,,,,,,,
2021Mar,98,.3,,,,,,,,10,15,30,30,15,,,,,,,,,,
2021Mar,99,1.6,,,,,,,,,,,,30,70,,,,,,,,,
2021Mar,101,-.3,,,,,,,,,,,,,,,,,,,,,,
2021Mar,102,.8,,,,,,,,,,,,,,,,,,,,,,
2021Mar,103,,,,,,,,,,,,,,,,,,,,,,,
2021Mar,105,1,,,,,,,,,,,5,95,,,,,,,,,,
2021Mar,107,1.2716587587,0,0,.0000000002,.0000000383,.0000044496,.0002747193,.0090401603,.1590633465,1.5015697452,7.6303529031,20.9323646398,31.0634785423,24.9580758974,10.8515991145,2.5488785555,.3225626823,.0219221687,.000813037,,,,
2021Mar,108,-.9,,,,.01,4.55,12.98,21.4,26.8,19.77,11.39,3.1,,,,,,,,,,,
2021Mar,110,.5,,,,,,,,,,,,,,,,,,,,,,
2021Mar,112,-.5,,,,,,5,10,25,30,15,10,5,,,,,,,,,,
2021Mar,114,1.7,,,,,,,,,,,,,,,,,,,,,,
2021Mar,115,1.1,.0000010938,.0000114175,.0001899315,.0022492505,.0198266347,.1301303242,.6361594319,2.3170669897,6.289368135,12.7251057187,19.1941096454,21.5857133206,18.0995667222,11.3150401236,5.2733307823,1.8318236889,.4741956047,.1061111848,,,,
2021Mar,117,.1,,,,,,,,,,,,,,,,,,,,,,
2021Mar,119,1.2,,,,,,,,,,5,5,80,5,5,,,,,,,,
2021Mar,121,1.2,0,0,0,0,0,1,2,4,10,15,20,25,15,5,2,1,0,0,,,,
