INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2018,1,1.5,,,,6,10,30,50,3,1,,,,,,,,,,,,
2018,2,1.2,,,,,10,60,30,,,,,,,,,,,,,,
2018,5,1.5,,,,5,10,25,40,15,5,,,,,,,,,,,,
2018,6,1.8,,,,,,20,60,20,,,,,,,,,,,,,
2018,7,1.5,,,,,,,,,,,,,,,,,,,,,
2018,14,1.6,0,0,0,0,5,34,46,14,1,0,0,0,,,,,,,,,
2018,15,1.55,,,,5,15,20,35,15,10,,,,,,,,,,,,
2018,16,1.6,1,1,2,7,13,16,18,15,13,9,4,1,,,,,,,,,
2018,20,1.5,,,,,10,40,45,5,,,,,,,,,,,,,
2018,22,1.4,,,,5,15,40,30,10,,,,,,,,,,,,,
2018,23,1.6,,,,,10,25,30,25,10,,,,,,,,,,,,
2018,24,1.4,,,,5,15,35,25,15,5,,,,,,,,,,,,
2018,26,1.4,,,,5,15,35,25,15,5,,,,,,,,,,,,
2018,29,1.6,,,,,,30,50,20,,,,,,,,,,,,,
2018,30,1.6,,,,,,25,70,5,,,,,,,,,,,,,
2018,31,1.5,,,,5,20,30,30,15,,,,,,,,,,,,,
2018,32,1.7,.0000001269,.0000340869,.0055827337,.2825326331,4.5831255201,24.1090472632,41.8881252934,24.2155277672,4.6239567819,.2863998714,.0056333171,.0000346051,,,,,,,,,
2018,33,1.5,0,0,0,0,6,16,52,19,7,0,0,0,,,,,,,,,
2018,35,1.5,,,,,,35,65,,,,,,,,,,,,,,
2018,36,1.7,,,,,,10,75,15,,,,,,,,,,,,,
2018,37,1.7,,,,,,20,78,2,,,,,,,,,,,,,
2018,38,1.4,,,,,,75,25,,,,,,,,,,,,,,
2018,39,1.5,,,,3,7,30,40,15,5,,,,,,,,,,,,
2018,41,1.4,,,,,,60,40,,,,,,,,,,,,,,
2018,45,1.425,,,,,10,40,45,5,,,,,,,,,,,,,
2018,47,1.5,,,,5,15,30,35,10,5,,,,,,,,,,,,
2018,48,1.3,,,,,5,60,35,,,,,,,,,,,,,,
2018,49,1.2,,,,,,,,,,,,,,,,,,,,,
2018,52,1.6,0,0,1,3,5,26,44,17,3,1,0,0,,,,,,,,,
2018,56,1.44,,,,,5,50,45,,,,,,,,,,,,,,
2018,59,1.5,,,,,,40,50,10,,,,,,,,,,,,,
2018,61,1.2,,,,5,10,35,30,15,5,,,,,,,,,,,,
2018,63,1.4,,,,,20,50,30,,,,,,,,,,,,,,
2018,67,,,,,,,,,,,,,,,,,,,,,,
2018,68,1.5,,,,,,,,,,,,,,,,,,,,,
2018,80,1.3839,0,0,.2136752137,2.7777777778,19.0170940171,38.8888888888,30.3418803419,8.3333333333,.4273504274,0,0,0,,,,,,,,,
2018,82,1.4,,,,,,,,,,,,,,,,,,,,,
2018,85,1.4911429187,.0000004253,.0001679861,.0201530784,.7455996992,8.682263863,32.5265515522,39.8464400914,16.0080062269,2.0836497323,.0860591908,.0011038294,.000004325,,,,,,,,,
2018,88,1.54,,,,5,5,30,50,10,,,,,,,,,,,,,
2018,89,1.45,,,1,2.5,13,30,28,20,2.5,2,1,,,,,,,,,,
2018,91,1.6,0,0,0,0,10,35,40,12.5,2.5,0,0,0,,,,,,,,,
2018,93,1.5,,,,,2.5,17.5,70,10,,,,,,,,,,,,,
2018,94,1.8,,1,2,3,6,15,38,20,8,4,2,1,,,,,,,,,
2018,95,1.5815847946,.4788652208,1.8009296981,3.235319307,10.0690973313,14.645822848,16.1275436831,18.2347791604,13.0585509464,9.8002211811,7.8620283768,3.1255379362,1.5613043108,,,,,,,,,
2018,96,1.4,,,,5,10,35,30,15,5,,,,,,,,,,,,
2018,98,1.5,,,,,5,35,55,5,,,,,,,,,,,,,
2018,99,1.5,,,,,,30,70,,,,,,,,,,,,,,
2018,101,1.6,,,,,5,30,55,10,,,,,,,,,,,,,
2018,103,1.6,,,,5,10,25,40,15,5,,,,,,,,,,,,
2018,107,1.5614541261,0,0,.0255996066,.8064454166,8.5551237293,31.1248919454,39.3595111678,17.348507948,2.6407872155,.1364976379,.002352177,.0002831559,,,,,,,,,
2018,108,1.8575775,,,,,3.18,17.7,33.13,30.34,14.37,1.28,,,,,,,,,,,
2018,110,1.4,0,0,0,0,7,43,43,7,0,0,0,0,,,,,,,,,
2018,111,1.5,,,,,,,,,,,,,,,,,,,,,
2018,112,1.6,,,,5,15,20,35,15,10,,,,,,,,,,,,
2018,115,1.4,.6277114602,1.2479142033,4.0611104175,8.9786100873,15.2365957367,19.848058095,19.8480580949,15.2365957367,8.9786100873,4.0611104175,1.4097478473,.4658778163,,,,,,,,,
2018,116,1.546,0,0,0,2.5,10,37.5,37.5,10,2.5,0,0,0,,,,,,,,,
2018Dec,1,1.6,,,1,5,10,30,50,3,1,,,,,,,,,,,,
2018Dec,2,1.3,,,,,,60,40,,,,,,,,,,,,,,
2018Dec,5,1.7,,,,2.5,10,20,35,20,10,2.5,,,,,,,,,,,
2018Dec,6,2,,,,,,,35,45,20,,,,,,,,,,,,
2018Dec,7,,,,,,,,,,,,,,,,,,,,,,
2018Dec,14,1.7,0,0,0,2,10,26,33,21,7,1,0,0,,,,,,,,,
2018Dec,15,,,,,,,,,,,,,,,,,,,,,,
2018Dec,16,1.7,1,2,7,9,13,16,19,16,10,4,2,1,,,,,,,,,
2018Dec,20,1.6,,,,,10,35,45,10,,,,,,,,,,,,,
2018Dec,22,1.8,,,,,10,25,50,15,,,,,,,,,,,,,
2018Dec,23,1.6,,,1,4,13,23,27,20,10,2,,,,,,,,,,,
2018Dec,24,1.5,,,3,7,17,21,24,18,10,,,,,,,,,,,,
2018Dec,26,1.5,,,,5,15,35,25,15,5,,,,,,,,,,,,
2018Dec,29,1.7,,,,,,20,60,20,,,,,,,,,,,,,
2018Dec,30,1.7,,,,,,,,,,,,,,,,,,,,,
2018Dec,31,1.6,,,,,15,25,30,20,10,,,,,,,,,,,,
2018Dec,32,1.7,,,,,,,,,,,,,,,,,,,,,
2018Dec,33,1.6,,,,,,,,,,,,,,,,,,,,,
2018Dec,35,,,,,,,,,,,,,,,,,,,,,,
2018Dec,36,1.8,,,,,,10,75,15,,,,,,,,,,,,,
2018Dec,37,1.9,,,,,,15,50,35,,,,,,,,,,,,,
2018Dec,38,1.7,,,,,,,,,,,,,,,,,,,,,
2018Dec,39,1.5,,,,,10,35,40,15,,,,,,,,,,,,,
