INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2020,1,1.2,,1,2,4,15,44,22,8,3,1,,,,,,,,,,,
2020,2,1.4,0,0,0,0,0,50,50,0,0,0,0,0,,,,,,,,,
2020,4,1.2,,,,10,20,40,20,10,,,,,,,,,,,,,
2020,5,1,,,,7.5,25,40,20,7.5,,,,,,,,,,,,,
2020,6,1.2,,,,,10,50,25,10,5,,,,,,,,,,,,
2020,7,1.1766426795,,,,,,,,,,,,,,,,,,,,,
2020,8,1,,,,5,30,35,20,10,,,,,,,,,,,,,
2020,10,1,,,,5,15,70,10,,,,,,,,,,,,,,
2020,14,1.1,0,0,0,6,34,46,12,2,0,0,0,0,,,,,,,,,
2020,15,1.3,,,,10,20,35,20,10,5,,,,,,,,,,,,
2020,16,1.2,2,5,7,8,20,24,18,11,3,1,1,0,,,,,,,,,
2020,20,1.3,,,,5,20,40,30,5,,,,,,,,,,,,,
2020,22,1.2,,,,,25,50,25,,,,,,,,,,,,,,
2020,23,1.3,,,,2,22,32,27,12,5,,,,,,,,,,,,
2020,24,1.24,,,,6,24,36,24,10,,,,,,,,,,,,,
2020,26,1.3,,,5,10,20,30,20,10,5,,,,,,,,,,,,
2020,30,1.2,,,,,,,,,,,,,,,,,,,,,
2020,31,1.2,,,,5,25,40,25,5,,,,,,,,,,,,,
2020,32,1.2,.0000000138,.0000256946,.0167385151,1.5424841148,22.0124587122,52.6795881198,22.1668510806,1.5649042151,.0169234388,.0000260897,.0000000055,0,,,,,,,,,
2020,33,1.2,,0,0,11,22,38,19,7,3,0,0,0,,,,,,,,,
2020,35,,,,,,,50,50,,,,,,,,,,,,,,
2020,37,1.4,,,,,2,53,45,,,,,,,,,,,,,,
2020,38,1.2,,,,,20,80,,,,,,,,,,,,,,,
2020,39,1.2,,,,10,20,35,25,5,5,,,,,,,,,,,,
2020,41,1.4,,,,,10,60,30,,,,,,,,,,,,,,
2020,42,1.4,,,,5,10,50,30,5,,,,,,,,,,,,,
2020,45,1.2,,,,5,25,40,25,5,,,,,,,,,,,,,
2020,47,1.1,,,,5,25,40,20,5,5,,,,,,,,,,,,
2020,48,1.3,,,,,5,90,5,,,,,,,,,,,,,,
2020,52,1,0,0,0,7,35,41,12,5,0,0,0,0,,,,,,,,,
2020,54,,,,,,25,50,25,,,,,,,,,,,,,,
2020,56,1.17,,,,,25,50,25,,,,,,,,,,,,,,
2020,57,1,0,0,0,8,20,67,5,0,0,0,0,0,,,,,,,,,
2020,61,1.3,,,,5,30,40,20,5,,,,,,,,,,,,,
2020,63,1.2,,,,,20,65,10,5,,,,,,,,,,,,,
2020,65,1.3,,,,5,20,50,20,5,,,,,,,,,,,,,
2020,67,,,,,,,,,,,,,,,,,,,,,,
2020,68,1.2,,,,,,,,,,,,,,,,,,,,,
2020,70,1.2,,,,,,,,,,,,,,,,,,,,,
2020,72,1.2,,,,,,,,,,,,,,,,,,,,,
2020,73,1.4,0,0,0,5,10,55,30,0,0,0,0,0,,,,,,,,,
2020,80,1.3,0,0,.4968944099,4.9689440994,23.4782608696,33.4161490683,26.2111801242,9.3167701863,1.9875776398,.1242236025,0,0,,,,,,,,,
2020,82,1.3,,,,,,,,,,,,,,,,,,,,,
2020,85,1.1175584621,.0012004418,.0522812999,.9658391573,7.5654237674,25.3444220289,36.5414244864,22.7229921349,6.077616657,.6945016072,.0336099529,.0006826726,.0000057937,,,,,,,,,
2020,88,1.34,0,0,0,1.1675361142,8.5971122551,32.974364174,41.1107913295,15.4725470278,.6776490994,0,0,0,,,,,,,,,
2020,89,1.2,0,0,.1,2.7,23.4,47.9,23.3,2.6,0,0,0,0,,,,,,,,,
2020,90,1,0,.3,1.8,7,22.5,44.5,15.8,6,1.8,.2,.1,0,,,,,,,,,
2020,91,1.3,0,0,0,2.5,20,45,30,2.5,0,0,0,0,,,,,,,,,
2020,93,1.2,,,,2.5,25,45,25,2.5,,,,,,,,,,,,,
2020,95,1.2469555158,3.7105149786,4.6617436459,7.9377707008,10.6107107453,12.7816860066,18.3357481731,15.3639489663,9.3956597632,7.0512834234,4.5347588096,3.3708223783,2.2453524089,,,,,,,,,
2020,96,1.1,,,,5,25,45,15,7,3,,,,,,,,,,,,
2020,97,1.4,,,,,,,,,,,,,,,,,,,,,
2020,98,1.4,,,,5,20,45,30,,,,,,,,,,,,,,
2020,99,1.3,,,,,,80,20,,,,,,,,,,,,,,
2020,101,1.2,,,,,20,60,20,,,,,,,,,,,,,,
2020,102,1.2,,,,,,,,,,,,,,,,,,,,,
2020,103,1.2,,,,5,25,45,20,5,,,,,,,,,,,,,
2020,105,1.3,,,,1.5,2,80,15,1,.5,,,,,,,,,,,,
2020,107,1.2777816786,.0000400788,.0052919228,.2385948237,3.7196554275,20.3920242447,39.8929000216,28.0454801951,7.0585223484,.6278725603,.0194123259,.0002053169,.0000007343,,,,,,,,,
2020,108,1.4194414454,,,,4.14,16.26,28.57,29.44,16.97,4.62,,,,,,,,,,,,
2020,109,1.2,1,1,2,4,10,55,20,3,2,1,1,0,,,,,,,,,
2020,110,1.4752618392,0,0,0,0,.0000000026,19.5245873772,80.4753496948,.0000629254,0,0,0,0,,,,,,,,,
2020,112,1.1,,,5,10,20,30,20,10,5,,,,,,,,,,,,
2020,114,1.6,,,,,,,,,,,,,,,,,,,,,
2020,115,1.2,.8033578621,1.6403959201,5.2996286704,11.3240719391,18.067544893,21.5267850055,19.1540019952,12.727086067,6.3146419051,2.3391278803,.6467798079,.1565780543,,,,,,,,,
2020,116,1.3,0,0,0,5,15,40,30,10,0,0,0,0,,,,,,,,,
2020,117,1.6,,,,,,,,,,,,,,,,,,,,,
2020,118,1.1,,,,,,,,,,,,,,,,,,,,,
2020,119,1.2,,,1,3,18,44,23,8,3,,,,,,,,,,,,
2020,121,1.37,0,0,0,5,20,40,30,5,0,0,0,0,,,,,,,,,
2020,127,1.4,.0143819692,.086512943,.9402254482,5.4401962421,17.1537141909,29.5389562412,27.8102751477,14.3131110951,4.0216297578,.6154640958,.0511508998,.0143819692,,,,,,,,,
2020,128,1.3,,,1,2,9,50,30,5,2,1,,,,,,,,,,,
2020Dec,1,1.2,,1,2,4,15,36,30,8,3,1,,,,,,,,,,,
