INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2018,1,1.6,,,,0,0,5,90,5,0,,,,,,,,,,,,
2018,2,1.8,0,0,0,0,0,0,100,0,0,0,0,0,,,,,,,,,
2018,4,1.8,,,,,,2.5,95,2.5,,,,,,,,,,,,,
2018,5,1.6,,,,,,20,80,,,,,,,,,,,,,,
2018,6,1.8,,,,,,30,60,10,,,,,,,,,,,,,
2018,7,1.7,,,,,,,,,,,,,,,,,,,,,
2018,15,1.7,,,,,,,100,,,,,,,,,,,,,,
2018,16,1.8,0,0,0,2,6,15,40,20,8,5,3,1,,,,,,,,,
2018,20,1.7,,,,,0,25,75,0,,,,,,,,,,,,,
2018,22,1.8,,,,,,,65,35,,,,,,,,,,,,,
2018,23,1.8,,,,,,10,75,15,,,,,,,,,,,,,
2018,24,1.8206781526,,,,0,5,22,36,26,11,,,,,,,,,,,,
2018,26,1.8,,,,,,10,80,10,,,,,,,,,,,,,
2018,29,1.8,,,,,,10,60,30,,,,,,,,,,,,,
2018,30,1.7,,,,,,15,65,20,,,,,,,,,,,,,
2018,32,1.7,0,0,0,0,0,.8186526536,98.318915531,.8624318154,0,0,0,0,,,,,,,,,
2018,33,1.7,0,0,0,0,7,20,53,16,4,0,0,0,,,,,,,,,
2018,35,,,,,,,,80,20,,,,,,,,,,,,,
2018,36,1.8,,,,,,10,80,10,,,,,,,,,,,,,
2018,37,1.8,,,,,,,99,1,,,,,,,,,,,,,
2018,38,1.7,,,,,,,100,,,,,,,,,,,,,,
2018,39,1.8,,,,,,,90,10,,,,,,,,,,,,,
2018,41,1.7,,,,,,,70,30,,,,,,,,,,,,,
2018,45,1.7884578243,,,,,,,,,,,,,,,,,,,,,
2018,47,1.8,,,,,,5,75,15,5,,,,,,,,,,,,
2018,48,1.7,,,,,,,90,10,,,,,,,,,,,,,
2018,49,1.7,,,,,,,,,,,,,,,,,,,,,
2018,56,1.8,,,,,,10,80,10,,,,,,,,,,,,,
2018,61,1.7,,,,,,20,65,15,,,,,,,,,,,,,
2018,67,,,,,,,,,,,,,,,,,,,,,,
2018,68,1.7,,,,,,,,,,,,,,,,,,,,,
2018,80,1.79,0,0,0,0,0,2.13371266,87.9089615932,9.9573257468,0,0,0,0,,,,,,,,,
2018,82,1.8,,,,,,,,,,,,,,,,,,,,,
2018,85,1.710273028,0,0,0,0,.0001827167,3.8113459916,82.2736479119,13.9107712693,.00405211,.0000000005,0,0,,,,,,,,,
2018,88,1.7,3.6,4.6,7.2,8.8,10.4,12,11.2,11,10.2,9.2,6.4,5.4,,,,,,,,,
2018,89,1.7,,,.5,1,8,28,38,20.5,1.5,1.5,1,,,,,,,,,,
2018,93,1.7,,,,,,10,80,10,,,,,,,,,,,,,
2018,94,1.8,,,,.5,1,2,80,12.5,2.5,1,.5,,,,,,,,,,
2018,95,1.6860299447,.4317376857,1.6236911477,7.1347022643,4.8603598101,13.2044537516,15.9462799876,20.6579898246,10.3674642605,8.8357321185,7.0882866175,5.629796029,4.2195065029,,,,,,,,,
2018,96,1.7,,,,,5,15,45,30,5,,,,,,,,,,,,
2018,97,1.7,,,,,,,,,,,,,,,,,,,,,
2018,98,1.7,,,,,,30,65,5,,,,,,,,,,,,,
2018,99,1.7,,,,,,10,80,10,,,,,,,,,,,,,
2018,101,1.8,,,,,,5,80,15,,,,,,,,,,,,,
2018,102,1.8,,,,,,,,,,,,,,,,,,,,,
2018,103,1.7,,,,,,15,80,5,,,,,,,,,,,,,
2018,108,1.7622375,,,,,,7,90,3,,,,,,,,,,,,,
2018,110,1.7,0,0,0,0,0,.045766956,98.5997458261,1.3544872179,0,0,0,0,,,,,,,,,
2018,111,1.8,,,,,,,,,,,,,,,,,,,,,
2018,112,1.7,,,,,10,20,35,20,10,5,,,,,,,,,,,
2018,114,1.8,,,,,2,15,50,30,3,,,,,,,,,,,,
2018,115,1.8,.1540135763,.4053248178,1.6711910434,4.7157248406,10.1262567766,16.5494880728,20.5869982354,19.4935680873,14.0499646391,7.707602426,3.217939991,1.3219274937,,,,,,,,,
2018,116,1.8,0,0,0,2.5,10,25,40,20,2.5,0,0,0,,,,,,,,,
2018,118,1.7727495,,,,,,,,,,,,,,,,,,,,,
2019,1,1.8,,,1,2,7,26,50,10,4,,,,,,,,,,,,
2019,2,1.5,0,0,0,0,0,40,60,0,0,0,0,0,,,,,,,,,
2019,4,1.7,,,,,5,20,50,20,5,,,,,,,,,,,,
2019,5,1.675,,,,2.5,5,25,40,20,5,2.5,,,,,,,,,,,
2019,6,2,,,,,,,40,50,10,,,,,,,,,,,,
2019,7,1.6,,,,,,,,,,,,,,,,,,,,,
2019,15,1.8,,,,,10,15,30,30,15,,,,,,,,,,,,
2019,16,1.7,0,0,1,2,10,21,36,19,8,2,1,0,,,,,,,,,
2019,20,1.7,,,,,5,35,45,15,,,,,,,,,,,,,
2019,22,1.8,,,,,10,20,50,20,,,,,,,,,,,,,
2019,23,1.7,,,1,3,14,20,27,20,14,1,,,,,,,,,,,
2019,24,1.9520906544,,,2,5,8,10,20,24,21,6,4,,,,,,,,,,
2019,26,1.8,,,,5,10,15,30,25,10,5,,,,,,,,,,,
2019,29,1.8,,,,,,10,60,30,,,,,,,,,,,,,
2019,30,1.7,,,,,,10,70,20,,,,,,,,,,,,,
2019,32,1.7,.0000120603,.0008278961,.0399615463,.7951228754,6.7075128696,24.0144347516,36.7481293498,24.0960210522,6.7532979926,.8035956481,.0402367164,.0008472416,,,,,,,,,
2019,33,1.8,0,0,0,1,4,17,40,22,12,4,0,0,,,,,,,,,
2019,35,,,,,,,,,,,,,,,,,,,,,,
2019,36,2,,,,,,10,30,50,10,,,,,,,,,,,,
2019,37,2,,,,,,1,44,48,7,,,,,,,,,,,,
2019,38,1.8,,,,,,10,70,20,,,,,,,,,,,,,
2019,39,1.9,,,,,,13,52,30,5,,,,,,,,,,,,
2019,41,1.8,,,,,,10,70,20,,,,,,,,,,,,,
2019,45,1.71790106,,,,,,,,,,,,,,,,,,,,,
2019,47,1.9,,,,,5,20,35,25,10,5,,,,,,,,,,,
2019,48,1.6,,,,,,10,80,10,,,,,,,,,,,,,
2019,49,1.4,,,,,,,,,,,,,,,,,,,,,
2019,56,1.9,,,,,,20,60,20,,,,,,,,,,,,,
2019,61,1.8,,,,,5,15,50,20,10,,,,,,,,,,,,
2019,67,,,,,,,,,,,,,,,,,,,,,,
2019,68,1.7,,,,,,,,,,,,,,,,,,,,,
2019,80,1.63,0,.1422475107,.2844950213,3.9829302987,16.2162162162,23.3285917496,25.6045519204,16.5007112376,9.5305832148,2.987197724,1.4224751067,0,,,,,,,,,
2019,82,1.7,,,,,,,,,,,,,,,,,,,,,
