INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2018,41,1.6,,,,,,10,60,30,,,,,,,,,,,
2018,45,1.45,,,,,10,40,40,10,,,,,,,,,,,
2018,47,1.4,,,,5,10,30,35,15,5,,,,,,,,,,
2018,48,1.5,,,,,,45,55,,,,,,,,,,,,
2018,49,1,,,,,,,,,,,,,,,,,,,
2018,52,1.4,0,0,0,4,19,38,29,8,2,0,0,0,,,,,,,
2018,56,1.3,,,,0,10,70,20,,,,,,,,,,,,
2018,61,1.3,,,,5,10,35,30,15,5,,,,,,,,,,
2018,70,1.1,,,,,,60,40,,,,,,,,,,,,
2018,80,1.3,0,0,0,1.3986013986,17.4825174825,37.9953379954,34.4988344988,8.6247086247,0,0,0,0,,,,,,,
2018,82,1.3,,,,,,,,,,,,,,,,,,,
2018,85,1.4041767949,.0002643701,.0131595023,.2986036493,3.0821730407,14.5711837264,31.731654974,31.9367473288,14.8559781081,3.1835082764,.3124882538,.0139546308,.0002841393,,,,,,,
2018,88,1.4,4,5,8,10,12,14,12,11,9,8,4,3,,,,,,,
2018,89,1.4266523523,,,2,5,20,25,25,15,5,2,1,,,,,,,,
2018,93,1.5,,,,,2,33,60,5,,,,,,,,,,,
2018,94,1.758,,1,2,3,6,15,38,20,8,4,2,1,,,,,,,
2018,95,1.6383088218,.3821607326,.9114000294,3.8672324891,5.3729334515,10.109307136,16.8924400506,25.2175235573,19.7603265216,10.7639734435,5.1408345621,1.4634801541,.1183878722,,,,,,,
2018,96,1.3,,,,5,20,45,15,10,5,,,,,,,,,,
2018,97,1,,,,,,,,,,,,,,,,,,,
2018,98,1.5,,,,,,30,40,25,5,,,,,,,,,,
2018,99,1.5,,,,,,20,80,,,,,,,,,,,,
2018,101,1.2,,,,,15,45,35,5,,,,,,,,,,,
2018,102,1.3,,,,5,10,45,35,5,,,,,,,,,,,
2018,103,1.6,,,,5,10,30,35,15,5,,,,,,,,,,
2018,107,1.4308311311,.0002330856,.0125513589,.3005183526,3.1971894831,15.227710253,32.6731427852,31.694442557,13.8978164664,2.744260464,.242456658,.0095127554,.0001657808,,,,,,,
2018,108,1.6943130818,,,,3.79,11.68,19.58,26.13,20.9,12.92,4.95,.05,,,,,,,,
2018,110,1.4,0,0,0,5,20,42.5,27.5,5,0,0,0,0,,,,,,,
2018,111,,,,,,,,,,,,,,,,,,,,
2018,112,1.6,,,,5,15,20,35,15,10,,,,,,,,,,
2018,114,1.6,,,2,8,13,17,43,10,5,2,,,,,,,,,
2018,116,1.253,0,0,1.5,6,25,35,25,6,1.5,0,0,0,,,,,,,
2018,118,1.2,,,,,,,,,,,,,,,,,,,
2018,119,1.5,,,,,25,30,35,10,,,,,,,,,,,
2018Jun,1,1.5,,,1,4,10,20,45,15,5,,,,,,,,,,
2018Jun,2,1.1,0,0,0,0,20,60,20,0,0,0,0,0,,,,,,,
2018Jun,4,1.5,0,0,0,0,10,40,40,10,,,,,,,,,,,
2018Jun,6,1.6,,,,,10,30,50,10,,,,,,,,,,,
2018Jun,7,,,,,,,,,,,,,,,,,,,,
2018Jun,8,1.8,,,,,15,30,40,15,,,,,,,,,,,
2018Jun,10,1.4,,,,,35,60,5,,,,,,,,,,,,
2018Jun,14,1.1,0,0,6,13,25,26,23,6,1,0,0,0,,,,,,,
2018Jun,15,1.625,,,,5,10,20,35,20,10,,,,,,,,,,
2018Jun,16,1.5,1,2,7,9,13,17,19,15,10,4,2,1,,,,,,,
2018Jun,20,1.4,,,,,20,40,35,5,,,,,,,,,,,
2018Jun,22,1.4,,,,0,20,40,30,10,,,,,,,,,,,
2018Jun,23,1.3,,,1,10,23,29,25,10,2,,,,,,,,,,
2018Jun,24,1.6,,,3,7,19,21,24,16,10,,,,,,,,,,
2018Jun,29,1.5,,,,,10,60,30,,,,,,,,,,,,
2018Jun,31,1.7,,,,2.5,12.5,20,40,20,5,,,,,,,,,,
2018Jun,32,1.35,,,,,,,,,,,,,,,,,,,
2018Jun,33,1.6,,,,,,,,,,,,,,,,,,,
2018Jun,35,,,,,,,,,,,,,,,,,,,,
2018Jun,36,1.5,0,0,0,5,10,30,40,10,5,0,0,0,,,,,,,
2018Jun,37,1.8,,,,,,10,70,20,,,,,,,,,,,
2018Jun,38,1.4,,,,,20,60,20,,,,,,,,,,,,
2018Jun,39,1.54,,,,5,10,30,40,15,,,,,,,,,,,
2018Jun,41,,,,,,,,,,,,,,,,,,,,
2018Jun,45,,,,,,,,,,,,,,,,,,,,
2018Jun,47,1.5,,,,,,,,,,,,,,,,,,,
