INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2018,2,1.6,0,0,0,0,0,30,50,20,0,0,0,0,,,,,,,,,
2018,4,1.7,,,,,10,25,50,15,,,,,,,,,,,,,
2018,6,1.7,,,,,,30,60,10,,,,,,,,,,,,,
2018,7,1.5,,,,,,,,,,,,,,,,,,,,,
2018,10,1.7,,,,,10,20,70,,,,,,,,,,,,,,
2018,14,1.63426714,0,0,0,0,0,32,68,0,0,0,0,0,,,,,,,,,
2018,15,1.7,,,,,,5,90,5,,,,,,,,,,,,,
2018,16,1.8,0,0,0,2,6,15,40,20,8,5,3,1,,,,,,,,,
2018,20,1.6,,,,,5,40,50,5,,,,,,,,,,,,,
2018,22,1.8,,,,,,10,50,40,,,,,,,,,,,,,
2018,23,1.7,,,,,,25,50,25,,,,,,,,,,,,,
2018,24,1.8159118634,,,,0,5,25,35,25,10,,,,,,,,,,,,
2018,26,1.7,,,,,5,20,50,20,5,,,,,,,,,,,,
2018,29,1.7,,,,,,20,60,20,,,,,,,,,,,,,
2018,30,1.7,,,,,,15,65,20,,,,,,,,,,,,,
2018,32,1.7,0,0,0,.0000001101,.0164594691,11.4857321336,76.8088906115,11.6718435384,.0170740205,.0000001168,0,0,,,,,,,,,
2018,33,1.6,0,0,0,0,7,28,53,10,2,0,0,0,,,,,,,,,
2018,35,,,,,,,,,,,,,,,,,,,,,,
2018,37,1.8,,,,,,4,93,3,,,,,,,,,,,,,
2018,38,1.7,,,,,,,80,20,,,,,,,,,,,,,
2018,39,1.7,,,,,3,20,55,15,7,,,,,,,,,,,,
2018,41,1.5,,,,,,30,50,20,,,,,,,,,,,,,
2018,47,1.7,,,,5,10,25,40,15,5,,,,,,,,,,,,
2018,48,1.4,,,,,,40,60,,,,,,,,,,,,,,
2018,49,1.6,,,,,,,,,,,,,,,,,,,,,
2018,52,1.8,0,0,0,1,4,17,44,28,5,1,0,0,,,,,,,,,
2018,54,,,,,,10,45,45,,,,,,,,,,,,,,
2018,56,1.7,,,,,,10,80,10,,,,,,,,,,,,,
2018,61,1.7,,,,,,25,60,15,,,,,,,,,,,,,
2018,63,1.7,0,0,0,0,0,20,70,10,0,0,0,0,,,,,,,,,
2018,67,,,,,,,,,,,,,,,,,,,,,,
2018,68,1.6,,,,,,,,,,,,,,,,,,,,,
2018,80,1.6,0,0,0,0,2.5787965616,27.7936962751,59.3123209169,10.3151862464,0,0,0,0,,,,,,,,,
2018,82,1.7,,,,,,,,,,,,,,,,,,,,,
2018,85,1.7429022665,0,0,.000000712,.0017973355,.4731618868,14.0943878703,53.9892711662,29.2817325956,2.1411269166,.0185044229,.0000170925,.0000000016,,,,,,,,,
2018,88,1.7,,,,,5,15,50,25,5,,,,,,,,,,,,
2018,89,1.6,,,.5,1.5,10,30,33,21,1.5,1.5,1,,,,,,,,,,
2018,91,1.8,0,0,0,0,0,20,70,10,0,0,0,0,,,,,,,,,
2018,93,1.6,,,,,,22.5,70,7.5,,,,,,,,,,,,,
2018,94,1.6455,.5,1,1.5,3,6,14.5,50,15,4,3,1,.5,,,,,,,,,
2018,95,1.6599017635,.3524537042,1.3255177355,6.9722362108,9.7065333408,11.9273431336,13.0179172121,16.8643722245,13.0545720376,10.6563807609,8.0820895629,4.5959445516,3.4446395255,,,,,,,,,
2018,96,1.7,,,,2,8,20,35,20,10,5,,,,,,,,,,,
2018,97,1.8,,,,,,,,,,,,,,,,,,,,,
2018,98,1.7,,,,,5,30,60,5,,,,,,,,,,,,,
2018,99,1.7,,,,,,10,80,10,,,,,,,,,,,,,
2018,101,1.8,,,,,,15,65,20,,,,,,,,,,,,,
2018,102,1.6,,,,,,,,,,,,,,,,,,,,,
2018,103,1.7,,,,,5,20,70,5,,,,,,,,,,,,,
2018,107,1.6995385338,0,0,0,.0000001287,.0176359213,11.6929131469,76.6651822157,11.6069266608,.0173418013,.0000001253,0,0,,,,,,,,,
2018,108,1.84487,,,,,.08,15.18,41.03,35.08,8.63,,,,,,,,,,,,
2018,110,1.4,.0000000002,.0000014681,.0019122092,.3551877116,9.978925623,46.2120176955,37.8871323002,5.4383966563,.1259917974,.000434327,.0000002115,0,,,,,,,,,
2018,111,1.7,,,,,,,,,,,,,,,,,,,,,
2018,112,1.7,,,,,10,20,35,20,10,5,,,,,,,,,,,
2018,114,1.8,,,,,5,10,45,30,10,,,,,,,,,,,,
2018,115,1.7,.2267423529,.5538886758,2.1423965001,5.6643604754,11.4302771168,17.6063185817,20.7022949589,18.5831275515,12.7338970282,6.6606678599,2.659137004,1.0368918948,,,,,,,,,
2018,116,1.7,0,0,0,2.5,10,25,40,20,2.5,0,0,0,,,,,,,,,
2019,2,1.5,0,0,0,0,0,30,60,10,0,0,0,0,,,,,,,,,
2019,4,1.5,,,,5,10,30,35,15,5,,,,,,,,,,,,
2019,6,2,,,,,,,40,50,10,,,,,,,,,,,,
2019,7,1.5,,,,,,,,,,,,,,,,,,,,,
2019,10,1.4,,,,10,30,60,,,,,,,,,,,,,,,
2019,14,1.82963898,0,0,0,1,7,24,33,22,10,3,0,0,,,,,,,,,
2019,15,1.7,,,,,10,20,40,20,10,,,,,,,,,,,,
2019,16,1.6,0,0,1,2,10,22,36,18,8,2,1,0,,,,,,,,,
2019,20,1.6,,,,,10,35,45,10,,,,,,,,,,,,,
2019,22,1.8,,,,,10,20,50,20,,,,,,,,,,,,,
2019,23,1.4,,,1,5,15,28,24,16,10,1,,,,,,,,,,,
2019,24,1.6185490662,,,3,8,14,14,25,22,12,2,,,,,,,,,,,
2019,26,1.6,,,5,5,10,20,35,15,5,5,,,,,,,,,,,
2019,29,1.7,,,,,,20,60,20,,,,,,,,,,,,,
2019,30,1.7,,,,,,10,70,20,,,,,,,,,,,,,
2019,32,1.7,.0000634151,.0026410644,.0817533543,1.1549399988,7.6510416869,23.7316102097,34.6264380181,23.8031854105,7.6973555751,1.1659946663,.0822513683,.0027252325,,,,,,,,,
2019,33,1.8,0,0,0,0,3,22,44,17,10,4,0,0,,,,,,,,,
2019,35,,,,,,,,,,,,,,,,,,,,,,
2019,37,2,,,,,,4,42,47,7,,,,,,,,,,,,
2019,38,1.8,,,,,,,80,20,,,,,,,,,,,,,
2019,39,1.9,,,,,3,10,55,26,6,,,,,,,,,,,,
2019,41,1.7,,,,,,10,75,15,,,,,,,,,,,,,
2019,47,1.7,,,,5,15,25,35,15,5,,,,,,,,,,,,
2019,48,1.4,,,,,,50,50,,,,,,,,,,,,,,
2019,49,1.1,,,,,,,,,,,,,,,,,,,,,
2019,52,1.8,0,0,0,1,8,20,34,25,11,1,0,0,,,,,,,,,
2019,54,,,,,,10,30,40,20,,,,,,,,,,,,,
2019,56,1.6,,,,,5,30,50,15,,,,,,,,,,,,,
2019,61,1.7,,,,,5,20,50,20,5,,,,,,,,,,,,
2019,63,1.6,0,0,0,0,10,30,50,10,0,0,0,0,,,,,,,,,
2019,67,,,,,,,,,,,,,,,,,,,,,,
2019,68,1.6,,,,,,,,,,,,,,,,,,,,,
2019,80,1.6,0,0,0,1.7191977077,7.7363896848,27.7936962751,38.9684813754,21.4899713467,2.005730659,.2865329513,0,0,,,,,,,,,
2019,82,1.7,,,,,,,,,,,,,,,,,,,,,
2019,85,1.799213242,.0000230213,.0014830606,.0463255998,.7000270333,5.1447916094,18.4825589868,32.5818611702,28.2382343615,12.0263169074,2.5098940165,.2555518698,.0129323634,,,,,,,,,
2019,88,1.6,,,,2.5,5,10,60,15,5,2.5,,,,,,,,,,,
2019,89,1.7,,,0,1.5,10,19,35.5,23,7.5,2.5,1,,,,,,,,,,
2019,91,1.6,0,0,0,2.5,10,30,40,15,2.5,0,0,0,,,,,,,,,
2019,93,1.7,,,,,,15,70,15,,,,,,,,,,,,,
2019,94,1.758,,1,2,3,6,15,38,20,8,4,2,1,,,,,,,,,
2019,95,1.723347868,.4814847288,1.148273903,3.4284354607,3.8815747446,9.8489371772,14.0633287613,24.55211066,20.5643721323,15.0054370419,6.4769431386,.3999452408,.1491570108,,,,,,,,,
2019,96,1.5,,,,5,10,25,35,15,7,3,,,,,,,,,,,
2019,97,1.5,,,,,,,,,,,,,,,,,,,,,
2019,98,1.8,,,,,,20,55,20,5,,,,,,,,,,,,
2019,99,1.4,,,,,,60,40,,,,,,,,,,,,,,
2019,101,2,,,,,,20,35,45,,,,,,,,,,,,,
2019,102,1.3,,,,,,,,,,,,,,,,,,,,,
2019,103,1.7,,,,,5,20,50,20,5,,,,,,,,,,,,
2019,107,1.7996564774,.0000128766,.0010648575,.040189357,.6927706845,5.4908330239,20.1387875112,34.3482815178,27.3045598089,10.1063293602,1.7348236947,.1372892753,.0050580324,,,,,,,,,
2019,108,1.9124775,,,,,3.61,16.37,29.57,30.1,16.67,3.68,,,,,,,,,,,
2019,110,1.6,.0000000679,.0000488644,.0094722815,.5035386402,7.5265966011,32.5576035325,41.6953615039,15.8812714531,1.769522124,.0560915399,.0004922199,.0000011716,,,,,,,,,
2019,111,,,,,,,,,,,,,,,,,,,,,,
2019,112,1.9,,,,5,10,15,30,25,10,5,,,,,,,,,,,
2019,114,1.8,,,,5,10,20,45,15,5,,,,,,,,,,,,
2019,115,1.6,.3135932085,.7232986863,2.659137004,6.6606678599,12.7338970282,18.5831275515,20.7022949589,17.6063185817,11.4302771168,5.6643604754,2.1423965001,.7806310287,,,,,,,,,
2019,116,1.7,0,0,0,5,15,20,35,20,5,0,0,0,,,,,,,,,
2019Jun,2,1.4,0,0,0,0,0,60,40,0,0,0,0,0,,,,,,,,,
2019Jun,4,1.4,,,5,10,15,30,25,10,5,,,,,,,,,,,,
2019Jun,6,2,,,,,,,35,45,20,,,,,,,,,,,,
2019Jun,7,,,,,,,,,,,,,,,,,,,,,,
2019Jun,10,1.4,,,,10,30,60,,,,,,,,,,,,,,,
2019Jun,14,1.7,0,0,0,2,11,23,30,19,10,5,0,0,,,,,,,,,
2019Jun,15,,,,,,,,,,,,,,,,,,,,,,
2019Jun,16,1.5,0,0,1,2,10,24,34,18,8,2,1,0,,,,,,,,,
2019Jun,20,1.6,,,,,10,35,45,10,,,,,,,,,,,,,
2019Jun,22,1.8,,,,,10,20,50,20,,,,,,,,,,,,,
2019Jun,23,1.6,,,1,4,13,23,27,20,10,2,,,,,,,,,,,
2019Jun,24,1.2318984287,2,3,8,12,18,16,15,10,10,3,2,1,,,,,,,,,
2019Jun,26,1.5,,,,5,15,35,25,15,5,,,,,,,,,,,,
2019Jun,29,1.7,,,,,,20,60,20,,,,,,,,,,,,,
2019Jun,30,1.7,,,,,,,,,,,,,,,,,,,,,
2019Jun,32,1.7,,,,,,,,,,,,,,,,,,,,,
2019Jun,33,1.5,,,,,,,,,,,,,,,,,,,,,
2019Jun,35,,,,,,,,,,,,,,,,,,,,,,
2019Jun,37,1.8,,,,,,7,46,44,3,,,,,,,,,,,,
