INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2017,1,1.3,,,,10,20,50,15,5,,,,,,,,,,,
2017,2,1.2,0,0,0,5,25,40,25,5,0,0,0,0,,,,,,,
2017,4,1.4,0,0,0,0,10,50,30,10,0,0,0,0,,,,,,,
2017,6,1.6,,,,,10,30,50,10,,,,,,,,,,,
2017,7,1,,,,,,,,,,,,,,,,,,,
2017,10,1.2,0,0,0,0,20,70,10,0,0,0,0,0,,,,,,,
2017,14,1,0,0,0,10,41,40,9,0,0,0,0,0,,,,,,,
2017,15,1.4,,,,5,15,35,25,15,5,,,,,,,,,,
2017,16,1.5,1,2,6,9,13,18,21,14,9,4,2,1,,,,,,,
2017,20,1.4,,,,,15,45,35,5,,,,,,,,,,,
2017,22,1.4,,,,5,20,40,30,5,,,,,,,,,,,
2017,23,1.2,,,1,10,22,30,25,10,2,,,,,,,,,,
2017,24,1.4,,,,5,20,30,27.5,17.5,,,,,,,,,,,
2017,26,1.5,,,,2.5,20,27.5,27.5,20,2.5,,,,,,,,,,
2017,29,1.3,,,,,10,60,30,,,,,,,,,,,,
2017,30,1.4,,,,,20,50,30,,,,,,,,,,,,
2017,31,1.5,,,,2.5,12.5,20,40,20,5,,,,,,,,,,
2017,32,1.2,.0000600649,.0055568826,.2844857755,4.5811723777,24.1090472632,41.8881252934,24.2155277672,4.6239567819,.2863998714,.0056333171,.00003454,.0000000651,,,,,,,
2017,35,1.2,,,,,25,50,25,,,,,,,,,,,,
2017,37,1.7,,,,,1,30,65,4,,,,,,,,,,,
2017,38,1.4,,,,,20,60,20,,,,,,,,,,,,
2017,39,1.3,,,,10,25,35,25,5,,,,,,,,,,,
2017,42,1,,,,5,30,50,15,,,,,,,,,,,,
2017,48,1.5,,,,,,50,50,,,,,,,,,,,,
2017,49,1.2,,,,,,,,,,,,,,,,,,,
2017,54,1.2,,,,,15,70,15,,,,,,,,,,,,
2017,56,1.6,,,,,5,40,50,5,,,,,,,,,,,
2017,61,1.3,,,,5,15,40,30,10,,,,,,,,,,,
2017,67,,,,,,,,,,,,,,,,,,,,
2017,68,1.2,,,,,,,,,,,,,,,,,,,
2017,70,1.1,,,,,,75,25,,,,,,,,,,,,
2017,80,1,0,0,0,10.8571428571,41.1428571429,40.2857142857,6.5714285714,1.1428571429,0,0,0,0,,,,,,,
2017,82,1.6,,,,,,,,,,,,,,,,,,,
2017,84,1.5,1,1,3,9,18,27,29,10,2,0,0,0,,,,,,,
2017,85,1.5018275373,.0031297074,.0579946617,.6251855367,3.8163297912,13.2225562266,26.0505334125,29.2163355319,18.6563373619,6.7779241644,1.3988068625,.1636318094,.0112349338,,,,,,,
2017,89,1.5,.5,1,2,5,15,20,27.5,18,7.5,2.5,1,,,,,,,,
2017,91,1.3,0,0,0,5,20,40,30,5,0,0,0,0,,,,,,,
2017,92,1.1741430248,.0066020921,.1556548617,1.7867326974,9.8461343145,26.1781984928,30.643458724,22.7568261404,7.6391107063,.8975736396,.0865606112,.0030948284,.0000528916,,,,,,,
2017,93,1.3,,,,1.5,10,65,23.5,,,,,,,,,,,,
2017,94,1.893,.5,1,1.5,3,6,11,30,28,11,5,2,1,,,,,,,
2017,95,.6117669726,4.345000336,8.2266787933,14.1986291976,16.6019221544,23.5979054649,17.4948351031,6.7524051781,3.4038056951,2.3047341786,1.0508807638,1.0131659822,1.0100371529,,,,,,,
2017,96,1.5,,,,2,5,35,45,10,3,,,,,,,,,,
2017,98,1.4,,,,5,15,40,30,10,,,,,,,,,,,
2017,99,1.4,,,,,,80,20,,,,,,,,,,,,
2017,101,1.2,,,,,10,75,15,,,,,,,,,,,,
2017,102,1.5,,,,5,10,35,50,,,,,,,,,,,,
2017,103,1.6,,,,5,10,30,35,15,5,,,,,,,,,,
2017,105,1.3,,,,,20,80,,,,,,,,,,,,,
2017,107,1.1741430248,.0066020921,.1556548617,1.7867326974,9.8461343145,26.1781984928,30.643458724,22.7568261404,7.6391107063,.8975736396,.0865606112,.0030948284,.0000528916,,,,,,,
