INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2016,1,.2,,,2.5,95,2.5,,,,,,,,,,,,,,
2016,4,.3,,,20,45,35,,,,,,,,,,,,,,
2016,6,.1,,,5,90,5,,,,,,,,,,,,,,
2016,7,.1,,,,,,,,,,,,,,,,,,,
2016,14,.3,,,,,,,,,,,,,,,,,,,
2016,15,.2,,,10,90,,,,,,,,,,,,,,,
2016,16,.2,0,1,30,35,30,4,0,0,0,0,0,0,,,,,,,
2016,20,.2,,,7,90,3,,,,,,,,,,,,,,
2016,22,.2,,,5,90,5,,,,,,,,,,,,,,
2016,23,.2,,,10,80,10,,,,,,,,,,,,,,
2016,24,.2,,15,22.5,30,22.5,10,,,,,,,,,,,,,
2016,29,.4,,,10,70,20,,,,,,,,,,,,,,
2016,30,.2,,,35,50,15,,,,,,,,,,,,,,
2016,31,.3,,,10,60,25,5,,,,,,,,,,,,,
2016,32,.2,0,0,.8402919821,98.2972762025,.8624318154,0,0,0,0,0,0,0,,,,,,,
2016,37,.2,,,,100,,,,,,,,,,,,,,,
2016,38,.2,,,20,60,20,,,,,,,,,,,,,,
2016,39,.2,,,10,55,20,10,5,,,,,,,,,,,,
2016,41,.2,,,20,70,10,,,,,,,,,,,,,,
2016,48,.3,,,,90,10,,,,,,,,,,,,,,
2016,49,.2,,,,,,,,,,,,,,,,,,,
2016,52,.2,0,4,23,41,23,8,1,0,0,0,0,0,,,,,,,
2016,54,.5,,,,50,50,,,,,,,,,,,,,,
2016,61,.2,,,20,70,10,,,,,,,,,,,,,,
2016,67,,,,,,,,,,,,,,,,,,,,
2016,68,.2,,,,,,,,,,,,,,,,,,,
2016,70,.1,,,10,90,,,,,,,,,,,,,,,
2016,80,.1,0,0,34.0694006309,64.9842271294,.9463722397,0,0,0,0,0,0,0,,,,,,,
2016,82,.2,,,,,,,,,,,,,,,,,,,
2016,84,.2,0,0,5,95,0,0,0,0,0,0,0,0,,,,,,,
2016,85,.2239034792,.0000000018,.001898332,5.2649009992,75.8033044193,18.8937169201,.0361791231,.0000002045,0,0,0,0,0,,,,,,,
2016,89,.2,2.5,5,20,47.5,15,5,2.5,2.5,,,,,,,,,,,
2016,92,.248061463,0,0,.5190528036,99.0187897576,.4621574388,0,0,0,0,0,0,0,,,,,,,
2016,93,.3,,,15,70,15,,,,,,,,,,,,,,
2016,94,.2,3,8,24.5,38,12,8,3,2,1,.5,,,,,,,,,
2016,95,.1280873895,10.3613657516,12.9709819043,18.3956863097,22.4114721495,19.6027652323,10.3935138299,4.3009202017,1.2591731782,.2608162439,.0382216033,.0039628557,.0011207399,,,,,,,
2016,96,.2,,2,15,50,30,3,,,,,,,,,,,,,
2016,98,.21,,,5,90,5,,,,,,,,,,,,,,
2016,99,.3,,,,100,,,,,,,,,,,,,,,
2016,101,.2,,,,95,5,,,,,,,,,,,,,,
2016,102,.3,,,20,60,20,,,,,,,,,,,,,,
2016,103,.2,,,10,80,10,,,,,,,,,,,,,,
2016,105,.15,,,15,85,,,,,,,,,,,,,,,
2016,107,.248061463,0,0,.5190528036,99.0187897576,.4621574388,0,0,0,0,0,0,0,,,,,,,
2016,110,.2,.0000000002,.0002073601,4.2131213986,83.2993670719,12.4844960697,.0028080993,.0000000002,0,0,0,0,0,,,,,,,
2016,112,.3,,10,20,40,15,10,5,,,,,,,,,,,,
2016,115,.3,9.8459750221,8.9805416501,16.4925986498,19.8869363825,18.6351400916,13.5699868927,7.6787202526,3.3761895869,1.1533086432,.3060446798,.0630774054,.0114807433,,,,,,,
2017,1,1.2,,,,5,10,70,15,,,,,,,,,,,,
2017,4,1.3,,,5,10,20,30,20,10,5,,,,,,,,,,
2017,6,1.4,,,,10,20,35,30,5,,,,,,,,,,,
2017,7,.5,,,,,,,,,,,,,,,,,,,
2017,14,.9,,,,,,,,,,,,,,,,,,,
2017,15,1.3,,,5,5,15,40,15,15,5,,,,,,,,,,
2017,16,.9,1,2,11,15,16,15,12,12,9,4,2,1,,,,,,,
2017,20,1.1,,,5,10,30,35,15,5,,,,,,,,,,,
2017,22,1.2,,,5,10,15,50,20,,,,,,,,,,,,
2017,23,1.1,,,1,10,24,30,20,13,2,,,,,,,,,,
2017,24,1.27,,,8,11,16,24,17,14,10,,,,,,,,,,
2017,29,.5,,,10,30,40,20,,,,,,,,,,,,,
2017,30,1.4,,,,,20,40,30,10,,,,,,,,,,,
2017,31,1.4,,,5,10,20,35,25,5,,,,,,,,,,,
2017,32,1.2,.0012880128,.0395134898,.7994904795,6.7031452655,24.0144347516,36.7481293499,24.0960210522,6.7532979926,.8035956481,.0402367164,.0008399652,.0000072764,,,,,,,
2017,37,1.3,,,,,5,60,35,,,,,,,,,,,,
2017,38,1.2,,,,,20,60,20,,,,,,,,,,,,
2017,39,1.3,,,,15,25,35,25,,,,,,,,,,,,
2017,41,1.2,,,,,20,60,20,,,,,,,,,,,,
2017,48,1.5,,,,,,50,50,,,,,,,,,,,,
2017,49,1.1,,,,,,,,,,,,,,,,,,,
2017,52,1,0,0,1,12,32,36,15,3,1,0,0,0,,,,,,,
2017,54,1.3,,,,,30,50,20,,,,,,,,,,,,
2017,61,1.2,,,,5,30,45,15,5,,,,,,,,,,,
2017,67,,,,,,,,,,,,,,,,,,,,
2017,68,1.2,,,,,,,,,,,,,,,,,,,
2017,70,1,,,,,30,70,,,,,,,,,,,,,
2017,80,1.3,0,0,.3154574132,5.047318612,26.1829652997,45.7413249212,19.5583596215,2.8391167192,.3154574132,0,0,0,,,,,,,
2017,82,1,,,,,,,,,,,,,,,,,,,
2017,84,1.3,1,4,7,16,22,26,19,4,1,0,0,0,,,,,,,
2017,85,1.4343619867,.0363552527,.2975511346,1.7048175618,6.3537121209,15.4158615364,24.3645484011,25.0922604235,16.8391922753,7.3617283574,2.0954195931,.388015863,.0505374802,,,,,,,
2017,89,1.4,1,2,2,5,16.5,27.5,20,15,7.5,2.5,1,,,,,,,,
2017,92,1.1928342863,.1083975732,.7880977518,3.87007867,11.8662033923,22.7391982783,24.6703588646,21.4715825052,11.107017315,2.6785834994,.6205509915,.0741517611,.0057793976,,,,,,,
2017,93,.8,,,,15,60,22.5,2.5,,,,,,,,,,,,
2017,94,1.3,1.5,3.5,6,10,14,26,12,10,8,6,2,1,,,,,,,
2017,95,.6319497625,7.6963769162,9.3681460319,11.1196227599,14.7281623344,17.5346976833,16.8004485481,10.1890378393,7.6344633976,3.6618485395,1.0089453581,.18809993,.0701506617,,,,,,,
2017,96,1.24,,,,5,25,35,20,10,5,,,,,,,,,,
2017,98,1.26,,,,5,15,40,30,10,,,,,,,,,,,
2017,99,1.4,,,,,,70,30,,,,,,,,,,,,
2017,101,1.2,,,,,20,70,10,,,,,,,,,,,,
2017,102,1.5,,,,10,15,30,45,,,,,,,,,,,,
2017,103,1.5,,,,7.5,20,30,35,7.5,,,,,,,,,,,
2017,105,1.2,,,,5,25,70,,,,,,,,,,,,,
2017,107,1.1928342863,.1083975732,.7880977518,3.87007867,11.8662033923,22.7391982783,24.6703588646,21.4715825052,11.107017315,2.6785834994,.6205509915,.0741517611,.0057793976,,,,,,,
2017,110,1.3,.0000000325,.0000166437,.0084642794,.7730641227,13.3504121774,46.4562594105,34.0594894513,5.1957699284,.1556608167,.0008622904,.0000008469,.0000000001,,,,,,,
2017,112,1.3,,,,10,20,40,20,10,,,,,,,,,,,
2017,115,1.5,.6060714603,1.1693209184,3.7609939263,8.3078854085,14.259739548,19.0194671851,19.7137089935,15.8790231446,9.9391998207,4.8341817453,1.826820861,.6835869883,,,,,,,
2017Sep,1,1.4,,,,10,10,60,20,,,,,,,,,,,,
2017Sep,4,1.4,,,5,10,15,30,25,10,5,,,,,,,,,,
2017Sep,6,1.3,,,5,25,25,35,5,5,,,,,,,,,,,
2017Sep,7,,,,,,,,,,,,,,,,,,,,
2017Sep,14,.6,,,,,,,,,,,,,,,,,,,
2017Sep,15,1.3,,,,10,15,35,25,10,5,,,,,,,,,,
2017Sep,16,1,1,2,11,15,16,15,12,12,9,4,2,1,,,,,,,
2017Sep,20,1.1,,,5,10,30,35,15,5,,,,,,,,,,,
2017Sep,22,1.3,,,10,15,25,30,15,5,,,,,,,,,,,
2017Sep,23,1.2,,,1,10,24,30,20,13,2,,,,,,,,,,
2017Sep,24,1.4068892105,,,3,8,20,24,21,15,9,,,,,,,,,,
2017Sep,29,.5,,,10,30,40,20,,,,,,,,,,,,,
2017Sep,30,,,,,,,,,,,,,,,,,,,,
2017Sep,31,1.4,,,5,10,30,40,10,5,,,,,,,,,,,
2017Sep,32,1.2,,,,,,,,,,,,,,,,,,,
2017Sep,37,1.2,,,,,6,60,34,,,,,,,,,,,,
2017Sep,38,1.3,,,,,20,60,20,,,,,,,,,,,,
2017Sep,39,1.3,,,,10,20,35,30,5,,,,,,,,,,,
2017Sep,41,,,,,,,,,,,,,,,,,,,,
2017Sep,48,1.6,,,,,,50,50,,,,,,,,,,,,
2017Sep,49,1,,,,,,,,,,,,,,,,,,,
2017Sep,52,.8,0,0,3,19,38,28,8,3,1,0,0,0,,,,,,,
2017Sep,54,1.1,,,,20,35,45,,,,,,,,,,,,,
2017Sep,61,1.2,,,,5,25,50,15,5,,,,,,,,,,,
2017Sep,67,,,,,,,,,,,,,,,,,,,,
2017Sep,68,1.4,,,,,,,,,,,,,,,,,,,
2017Sep,70,,,,,,,,,,,,,,,,,,,,
2017Sep,80,,,,,,,,,,,,,,,,,,,,
2017Sep,82,,,,,,,,,,,,,,,,,,,,
2017Sep,84,,,,,,,,,,,,,,,,,,,,
2017Sep,85,1.5120729099,.1852148927,.7616888471,2.7162197582,7.1665608076,13.992974059,20.22230397,21.632713444,17.1300339648,10.0403261413,4.355367081,1.3979957713,.398601263,,,,,,,
2017Sep,89,1.5,1,2,2,5,10,27.5,22.5,15,10,2.5,2.5,,,,,,,,
2017Sep,92,1.1433377805,.9621598788,2.6727162293,6.9545213885,13.525755363,19.6651255179,19.3351668511,17.9679438361,11.994810629,4.497564458,1.8360533941,.4794263967,.1087560575,,,,,,,
2017Sep,93,.9,,,,7.5,60,27.5,5,,,,,,,,,,,,
2017Sep,94,1.5,1,3,5,10,12,16,20,14,8,5,4,2,,,,,,,
2017Sep,95,.8260360838,2.6178534616,4.0655046361,9.4074789727,17.2497174769,22.2228341405,19.5199204449,14.6713323826,7.0940174278,2.4268338204,.587371566,.1005798288,.0365558417,,,,,,,
2017Sep,96,1.33,,,2,5,15,40,25,10,3,,,,,,,,,,
2017Sep,98,1.2,,,,5,15,35,30,15,,,,,,,,,,,
2017Sep,99,1.4,,,,,,,,,,,,,,,,,,,
2017Sep,101,1.2,,,,,,,,,,,,,,,,,,,
2017Sep,102,1.6,,,,5,10,35,45,5,,,,,,,,,,,
2017Sep,103,1.5,,,,5,17.5,30,35,10,2.5,,,,,,,,,,
2017Sep,105,1,,,,5,20,75,,,,,,,,,,,,,
2017Sep,107,1.1433377805,.9621598788,2.6727162293,6.9545213885,13.525755363,19.6651255179,19.3351668511,17.9679438361,11.994810629,4.497564458,1.8360533941,.4794263967,.1087560575,,,,,,,
2017Sep,110,1.3,.68205822,1.3974066077,4.5832155455,10.0600014346,16.6745783269,20.8729078954,19.7333769741,14.0898198035,7.597427465,3.0933830493,.9509004417,.2649242363,,,,,,,
2017Sep,112,.7,,,5,15,30,20,15,10,5,,,,,,,,,,
2017Sep,115,1.5,.6060714603,1.1693209184,3.7609939263,8.3078854085,14.259739548,19.0194671851,19.7137089935,15.8790231446,9.9391998207,4.8341817453,1.826820861,.6835869883,,,,,,,
