INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2017,1,1.5,,,,,15,45,35,5,,,,,,,,,,,
2017,2,1.5,0,0,0,0,0,20,80,0,0,0,0,0,,,,,,,
2017,4,1.6,,,,,,40,60,,,,,,,,,,,,
2017,5,1.65,,,,,,10,90,,,,,,,,,,,,
2017,6,1.5,,,,,,45,55,,,,,,,,,,,,
2017,7,1.4,,,,,,,,,,,,,,,,,,,
2017,14,1.7,0,0,0,0,0,0,100,0,0,0,0,0,,,,,,,
2017,15,1.625,,,,,,25,75,,,,,,,,,,,,
2017,16,1.5,1,1,2,4,11,24,30,14,7,3,2,1,,,,,,,
2017,20,1.4,,,,,,55,45,,,,,,,,,,,,
2017,22,1.5,,,,,,40,60,,,,,,,,,,,,
2017,23,1.5,,,,,,48,52,,,,,,,,,,,,
2017,24,1.5,,,,5,15,30,30,15,5,,,,,,,,,,
2017,26,1.5,,,,,,30,70,,,,,,,,,,,,
2017,29,1.5,,,,,10,30,50,10,,,,,,,,,,,
2017,30,1.5,,,,,,30,70,,,,,,,,,,,,
2017,32,1.5,0,0,0,0,.0000068359,31.286362732,68.7127534428,.0008769893,0,0,0,0,,,,,,,
2017,33,1.5,0,0,0,.5,10,25,48,13,3,.5,0,0,,,,,,,
2017,35,,,,,,,,,,,,,,,,,,,,
2017,36,1.5,0,0,0,0,0,15,70,15,0,0,0,0,,,,,,,
2017,37,1.5,,,,,,18,82,,,,,,,,,,,,
2017,38,1.5,0,0,0,0,10,30,60,0,0,0,0,0,,,,,,,
2017,39,1.6,,,,,,5,95,,,,,,,,,,,,
2017,41,1.5,,,,,,,100,,,,,,,,,,,,
2017,45,1.55,,,,,,30,70,,,,,,,,,,,,
2017,48,1.7,,,,,,,100,,,,,,,,,,,,
2017,49,1.5,,,,,,,,,,,,,,,,,,,
2017,52,1.5,0,0,0,1,3,32,41,19,3,1,0,0,,,,,,,
2017,56,1.5,,,,,,20,80,,,,,,,,,,,,
2017,59,,,,,,,45,55,,,,,,,,,,,,
2017,61,1.5,,,,,,40,60,,,,,,,,,,,,
2017,63,1.5,,,,,,45,55,,,,,,,,,,,,
2017,67,,,,,,,,,,,,,,,,,,,,
2017,68,1.6,,,,,,,,,,,,,,,,,,,
2017,80,1.6,0,0,0,0,0,28.6681715576,70.4288939052,.9029345372,0,0,0,0,,,,,,,
2017,82,1.5,,,,,,,,,,,,,,,,,,,
2017,85,1.5078876658,0,0,0,.0000000376,.0366200187,27.4094914535,71.0850819006,1.4687706432,.0000359464,0,0,0,,,,,,,
2017,89,1.5507305327,,,1,2,12.5,26,30,20,5,2.5,1,,,,,,,,
2017,91,1.6,0,0,0,0,0,35,65,0,0,0,0,0,,,,,,,
2017,93,1.6,,,,,,25,65,10,,,,,,,,,,,
2017,94,1.6105,.5,1,1.5,3,6,13,60,6.5,4,3,1,.5,,,,,,,
2017,95,1.564055482,2.2590262342,6.026680038,6.9273555466,8.2808818936,9.1963395867,11.1059047704,14.3874099741,13.0955152282,11.0495593732,10.8117076782,3.9209131298,2.938706547,,,,,,,
2017,96,1.5,,,,5,15,20,45,10,5,,,,,,,,,,
2017,97,1.5,,,,,,,,,,,,,,,,,,,
2017,98,1.5,,,,,,30,60,10,,,,,,,,,,,
2017,99,1.5,,,,,,40,60,,,,,,,,,,,,
2017,101,1.5,,,,,,40,60,,,,,,,,,,,,
2017,102,1.5,,,,,15,45,35,5,,,,,,,,,,,
2017,103,1.5,,,,,,40,60,,,,,,,,,,,,
2017,107,1.4827226039,0,0,0,0,.0116313483,41.0451097416,58.8810368004,.0622221085,.0000000012,0,0,0,,,,,,,
2017,108,1.5,,,,,15,35,40,10,,,,,,,,,,,
2017,109,1.5,0,0,0,0,0,35,65,0,0,0,0,0,,,,,,,
2017,110,1.5,0,0,0,0,0,20,80,0,0,0,0,0,,,,,,,
2017,111,1.5,,,,,,,,,,,,,,,,,,,
2017,112,1.7,,,,5,15,20,35,15,10,,,,,,,,,,
2017,114,1.5,,,,,5,40,50,5,,,,,,,,,,,
2017,115,1.5,.496176084,1.0233115086,3.4472668876,7.9318262779,14.0519102886,19.1690055702,20.1366373135,16.2892404788,10.1467455672,4.8666813447,1.7970951606,.6441035183,,,,,,,
2017,118,1.5059347435,,,,,,,,,,,,,,,,,,,
2018,1,1.1,,,,5,10,45,35,5,,,,,,,,,,,
2018,2,1.2,0,0,0,0,20,60,20,0,0,0,0,0,,,,,,,
2018,4,1.4,,,,,15,30,30,15,10,,,,,,,,,,
2018,5,1.625,,,,,10,25,40,20,5,,,,,,,,,,
2018,6,1.4,,,,,10,40,40,10,,,,,,,,,,,
2018,7,1.2,,,,,,,,,,,,,,,,,,,
2018,14,2.1,0,0,0,0,1,10,30,37,18,4,0,0,,,,,,,
2018,15,1.55,,,,,15,25,35,25,,,,,,,,,,,
2018,16,1.6,1,1,2,7,13,16,18,15,13,9,4,1,,,,,,,
2018,20,1.3,,,,,20,40,35,5,,,,,,,,,,,
2018,22,1.3,,,,0,10,45,35,10,,,,,,,,,,,
2018,23,1.4,,,,5,18,28,26,18,5,,,,,,,,,,
2018,24,1.4,,,3,10,16,23,23,13,10,2,,,,,,,,,
2018,26,1.4,,,,5,15,35,25,15,5,,,,,,,,,,
2018,29,1.5,,,,,10,30,50,10,,,,,,,,,,,
2018,30,1.4,,,,,,35,65,,,,,,,,,,,,
2018,32,1.5,.0000868419,.0043200351,.1470571513,2.0685484025,12.3759386176,31.518535574,34.3635605672,16.0472376022,3.1957766487,.2692858108,.009512294,.0001404547,,,,,,,
2018,33,1.6,0,0,0,0,6,20,48,20,6,0,0,0,,,,,,,
2018,35,,,,,,,,,,,,,,,,,,,,
2018,36,1.6,,,,,10,20,50,10,10,,,,,,,,,,
2018,37,1.4,,,,,2,68,30,,,,,,,,,,,,
2018,38,1.3,0,0,0,0,10,60,30,0,0,0,0,0,,,,,,,
2018,39,1.4,,,,5,20,40,30,5,,,,,,,,,,,
2018,41,1.6,,,,,,10,70,20,,,,,,,,,,,
2018,45,1.4,,,,,10,45,40,5,,,,,,,,,,,
2018,48,1.5,,,,,10,35,55,,,,,,,,,,,,
2018,49,1.1,,,,,,,,,,,,,,,,,,,
2018,52,1.4,0,0,0,4,19,38,29,8,2,0,0,0,,,,,,,
2018,56,1.2,,,,,15,70,15,,,,,,,,,,,,
2018,59,,,,,,,60,40,,,,,,,,,,,,
2018,61,1.4,,,,5,10,35,30,15,5,,,,,,,,,,
2018,63,1.4,,,,,10,50,30,10,,,,,,,,,,,
2018,67,,,,,,,,,,,,,,,,,,,,
2018,68,1.4,,,,,,,,,,,,,,,,,,,
2018,80,1.4,0,0,0,1.5801354402,12.6410835214,43.5665914221,34.5372460497,7.4492099323,.2257336343,0,0,0,,,,,,,
2018,82,1.1,,,,,,,,,,,,,,,,,,,
2018,85,1.2214716372,.0001717403,.0133051724,.3974671053,4.6087895008,20.9933118984,37.9344875867,27.3143076404,7.8171377178,.8816331636,.0387293588,.0006548861,.0000042294,,,,,,,
2018,89,1.6476142666,,,1,2,12.5,26,30,20,5,2.5,1,,,,,,,,
2018,91,1.3,0,0,0,7.5,20,40,25,5,2.5,0,0,0,,,,,,,
2018,93,1.6,,,,,2.5,25,62.5,10,,,,,,,,,,,
2018,94,1.758,,1,2,3,6,15,38,20,8,4,2,1,,,,,,,
2018,95,1.7274730763,.3500656399,.8348577111,3.5424498133,4.9216971454,9.2602948692,15.4737583718,23.0996744753,21.2501616003,13.0093513122,5.758881046,2.3903627392,.1084452763,,,,,,,
2018,96,1.3,,,,5,15,40,25,10,5,,,,,,,,,,
2018,97,1.1,,,,,,,,,,,,,,,,,,,
2018,98,1.4,,,,,,30,40,25,5,,,,,,,,,,
2018,99,1.4,,,,,,70,30,,,,,,,,,,,,
2018,101,1.2,,,,,15,45,35,5,,,,,,,,,,,
2018,102,1.1,,,,5,10,45,35,5,,,,,,,,,,,
