INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2018,1,1.5,,,,6,10,37,43,3,1,,,,,,,,,,,,
2018,2,1.3,0,0,0,0,20,60,20,0,0,0,0,0,,,,,,,,,
2018,4,1.4,,,,10,20,40,25,5,,,,,,,,,,,,,
2018,6,1.6,,,,,,30,60,10,,,,,,,,,,,,,
2018,7,1.4,,,,,,,,,,,,,,,,,,,,,
2018,14,1.7,0,0,0,0,0,20,69,11,0,0,0,0,,,,,,,,,
2018,15,1.55,,,,,5,30,50,15,,,,,,,,,,,,,
2018,16,1.6,1,1,2,7,13,16,18,15,13,9,4,1,,,,,,,,,
2018,20,1.5,,,,,5,43,47,5,,,,,,,,,,,,,
2018,22,1.4,,,,,15,50,35,,,,,,,,,,,,,,
2018,23,1.7,,,,,10,25,30,25,10,,,,,,,,,,,,
2018,24,1.4,,,,5,15,35,25,15,5,,,,,,,,,,,,
2018,26,1.4,,,,5,15,35,25,15,5,,,,,,,,,,,,
2018,29,1.6,,,,,,30,50,20,,,,,,,,,,,,,
2018,30,1.6,,,,,,40,60,,,,,,,,,,,,,,
2018,32,1.5,0,.000000203,.0004349301,.1278687978,5.5669503295,38.4879949874,45.933491833,9.5595920028,.322057085,.0016087084,.0000011229,.0000000001,,,,,,,,,
2018,33,1.5,0,0,0,0,8,32,55,5,0,0,0,0,,,,,,,,,
2018,35,1.5,,,,,,35,65,,,,,,,,,,,,,,
2018,36,1.7,,,,,,10,80,10,,,,,,,,,,,,,
2018,37,1.6,,,,,,21,78,1,,,,,,,,,,,,,
2018,38,1.6,,,,,,40,60,,,,,,,,,,,,,,
2018,39,1.5,,,,3,7,30,40,15,5,,,,,,,,,,,,
2018,41,1.5,,,,,,30,50,20,,,,,,,,,,,,,
2018,42,1.3,,,,5,20,40,25,10,,,,,,,,,,,,,
2018,45,1.425,,,,,10,40,45,5,,,,,,,,,,,,,
2018,47,1.6,,,,5,15,25,40,10,5,,,,,,,,,,,,
2018,48,1.4,,,,,,50,50,,,,,,,,,,,,,,
2018,49,1.3,,,,,,,,,,,,,,,,,,,,,
2018,54,1.5,,,,,,20,80,,,,,,,,,,,,,,
2018,56,1.5,,,,,0,45,55,,,,,,,,,,,,,,
2018,59,1.5,,,,,,40,50,10,,,,,,,,,,,,,
2018,61,1.4,,,,,15,45,30,10,,,,,,,,,,,,,
2018,63,1.5,,,,,10,40,50,,,,,,,,,,,,,,
2018,67,,,,,,,,,,,,,,,,,,,,,,
2018,68,1.4,,,,,,,,,,,,,,,,,,,,,
2018,80,1.5,0,0,0,0,3.2444959444,42.0625724218,49.4785631518,5.214368482,0,0,0,0,,,,,,,,,
2018,82,1.4,,,,,,,,,,,,,,,,,,,,,
2018,85,1.5389661893,.0000000266,.000024134,.0057295073,.362444628,6.2679556086,30.548024352,43.0354238196,17.6419635065,2.0702983002,.0675397264,.0005950057,.0000013851,,,,,,,,,
2018,88,1.5526101559,,,,5,5,30,50,10,,,,,,,,,,,,,
2018,89,1.36,,,1,5,22,31,20,17,1.5,1.5,1,,,,,,,,,,
2018,93,1.4,,,,,2.5,50,45,2.5,,,,,,,,,,,,,
2018,95,1.7064159152,.4317376857,1.6236911477,2.91691526,9.0781468143,13.2044537516,14.5403509861,17.8461318218,14.5852512648,10.24166112,8.4942156189,4.2238670276,2.8135775015,,,,,,,,,
2018,96,1.4,,,,5,15,35,30,10,5,,,,,,,,,,,,
2018,97,1.4,,,,,,,,,,,,,,,,,,,,,
2018,98,1.5,,,,,5,30,60,5,,,,,,,,,,,,,
2018,99,1.5,,,,,,30,70,,,,,,,,,,,,,,
2018,101,1.5,,,,,5,35,50,10,,,,,,,,,,,,,
2018,102,1.5,,,,,15,40,30,15,,,,,,,,,,,,,
2018,103,1.5,,,,,5,40,50,5,,,,,,,,,,,,,
2018,107,1.5464501822,0,.0000000652,.0001917692,.0752272231,4.1411073612,34.7910529305,48.8490743692,11.6969780554,.4439333908,.0024330286,.0000018066,.0000000002,,,,,,,,,
2018,108,1.846055,,,,,2.45,17.45,34.11,31.1,14.01,.88,,,,,,,,,,,
2018,110,1.5,0,0,0,5,17.5,30,34,13.5,0,0,0,0,,,,,,,,,
2018,111,1.4,,,,,,,,,,,,,,,,,,,,,
2018,112,1.8,,,,5,15,15,35,20,10,,,,,,,,,,,,
2018,113,1.7,0,0,1,3,5,26,44,17,3,1,0,0,,,,,,,,,
2018,115,1.6,.3285002163,.744614876,2.7046329415,6.7069044686,12.7317382702,18.5033545096,20.5891058968,17.5410896816,11.4418436118,5.7137992705,2.1842110094,.8102052477,,,,,,,,,
2018,116,1.6,0,0,0,5,12.5,35,40,7.5,0,0,0,0,,,,,,,,,
2018,118,1.3491450798,,,,,,,,,,,,,,,,,,,,,
2019,1,1.8,,,1,2,7,31,45,10,4,,,,,,,,,,,,
2019,2,1.5,0,0,0,0,0,30,60,10,0,0,0,0,,,,,,,,,
2019,4,1.3,,,5,10,20,30,20,10,5,,,,,,,,,,,,
2019,6,2,,,,,,,40,50,10,,,,,,,,,,,,
2019,7,1.5,,,,,,,,,,,,,,,,,,,,,
2019,14,1.9,0,0,0,1,7,19,28,26,14,4,1,0,,,,,,,,,
2019,15,1.65,,,,5,10,20,35,20,5,5,,,,,,,,,,,
2019,16,1.6,1,2,7,10,13,17,18,14,10,5,2,1,,,,,,,,,
2019,20,1.6,,,,,10,35,45,10,,,,,,,,,,,,,
2019,22,1.6,,,,,10,30,50,10,,,,,,,,,,,,,
2019,23,1.4,,,1,5,15,28,22,16,10,3,,,,,,,,,,,
2019,24,1.5,,,3,10,16,16,23,20,10,2,,,,,,,,,,,
2019,26,1.6,,,5,5,10,20,35,15,5,5,,,,,,,,,,,
2019,29,1.7,,,,,,30,50,20,,,,,,,,,,,,,
2019,30,1.7,,,,,,20,75,5,,,,,,,,,,,,,
2019,32,1.6,.0001563399,.0056213561,.1486552505,1.7966009847,10.2020012311,27.1752609178,34.1002321787,20.176322027,5.6170338978,.7323957248,.0444557135,.0012643781,,,,,,,,,
2019,33,1.6,0,0,0,2,5,25,43,15,8,2,0,0,,,,,,,,,
2019,35,,,,,,,,,,,,,,,,,,,,,,
2019,36,1.8,,,,,,15,70,15,,,,,,,,,,,,,
